,Unnamed: 0,strategy,label
1023,1023,We put her in classes with kids that have no delays so she can try to advance what skills she has,0
2977,2977,Her regular Skype sessions with me were so good,4
2294,2294,Feeding therapy ,4
2796,2796,not there in front of him. ,4
112,112,"We try to do some compromises such as doing educational games that her OT has suggested to help with her sensory disorder, etc.",0
1883,1883,Willingly get his face washed with a washcloth,2
1262,1262,Change toys + activities to improve skills,0
800,800,Mealtimes at the same time. ,0
1045,1045,PODD communication book,0
1220,1220,"We give our son jobs, and one is to help his siblings.  Also, we are getting him to put away his clean clothes and it helps that he has an older brother to help.",0
1877,1877,Modeling appropraite behavior playing with peers.  Encouraging her to greet guests.  Hello and Goodbye.,2
2417,2417,He is obsessed with dying ,4
1229,1229,choose activities geared towards kids,0
311,311,talk before going to an activity so she knows what to expect and what is expected of her.,0
797,797,Controlled environment,0
1139,1139,Schedule work off to attend,0
2113,2113,He needs help staying occupied.,4
2902,2902,"Recently, I was called to school by his teacher ",4
2185,2185,"Again, I'm not really sure how to answer any questions in this section, as my child isn't even sitting up unassisted yet or able to really communicate at all.  He's developmentally/cognitively 9 months old, and so cannot be expected to do any of this.  I do hope that one day he will be able to participate, but we have many other steps to accomplish first.",4
1117,1117,Go more often.,0
1657,1657,encourage participation,1
674,674,We have seen a couple of movies in the theatre and go in the morning when it is less busy.,0
5,5,Activities with other parent or adult interaction and supervision ,0
2464,2464,I am fed up with my child's behavior.,4
2419,2419,My 3 year old daughter had her tonsils and adenoids out weds morning for sleep apnea. ,4
75,75,Read and tell stories about outings,0
332,332,A variety of cultural experiences. ,0
329,329,"Modify activities to accommodate physical demands (i.e. do task sitting down, get her to sit @ table instead of standing which is difficult).",0
1513,1513,Practice encouragement to participate in activity rather than do it for her,1
2398,2398,"I was thinking along these lines, too. ",4
2958,2958,Thanks for this ,4
1300,1300,ECE or teacher seperates them into small groups to work on specific skills,0
679,679,Read to her almost daily and talk about what picutres are in books,0
2700,2700,but each child grows and walks at its own rate.,4
653,653,"Adhering to established routine including the order of activity. My child has difficulty continuing the routine if a step is skipped, such as reading a story or brushing teeth.",0
1087,1087,"Getting to know [name]'s PODD communication book is very helpful. He doesn't always use it, but when he needs it it's good if the person he needs to speak with is familiar with it.",0
270,270,"mommy leaves room,so she gets one on one.",0
2370,2370,"your Paediatric A&E dept should have had a case, ",4
887,887,Save money to be able to have child participate,0
2119,2119,The school I feel knows more about my child's understanding then I do I am so grateful for the program and ask many questions,4
1340,1340,Just make time. ,0
2662,2662,I don't know where to turn. ,4
355,355,talk about the party before hand so she knows what to expect,0
831,831,We have three safe spaces in our home where the kids have pretty much full freedom to explore. This reduces the amount of times we have to tell him no through out the day. He shows a lot more progress in development when he has a kid safe space.,0
897,897,"Be connected and involved with community groups I.e, church, school, etc.",0
486,486,Explaining that his little brother needs help sometimes works. ,0
2212,2212,It takes 2 to talk- ??? Program for speech therapy,4
1431,1431,I ask him to go play outside with his brother,1
510,510,watch educational shows instead of 'fun' shows,0
194,194,new toys,0
889,889,We keep taking her out so she knows the type of behavior that is expected,0
2098,2098,keep good communication with drs - we are barely home always in hospital.,4
2304,2304,Requires additional time to answer/participate,4
1551,1551,Stay with my child during appointment to ensure she feels secure,1
703,703,Knowledge about hearing loss from groups,0
3042,3042,they say theres nothing that can be done and it will pass. ,4
2942,2942,"We are very worried about her,",4
2023,2023,Repetition. Modelling proper way to do actiity over and over,3
1417,1417,My child eats better when there is little to no texture. We are working on adding cracker crumbs gradually to his food. We are also trying to use a nubby to get his mouth used to texture.,1
1101,1101,"We put jammies on a stuffed animal, too.",0
1984,1984,coach,3
247,247,Redirecting what is bothersome to him.,0
982,982,"Our son has been going to the same hair dresser for the past 3 or more years.  It's a familiar person and a familiar place.  It's a small boutique, so it's one client at a time.  We can close the door to be more private too.  She has a candy bowl and if he's good and sits, he can choose so many candies.  I have to spray his hair down first and comb it through (mommy's touch).  He doesn't like anyone else trying to delta glue his hair.  We have been consistent about getting his haircut.  It has been a work in progress.  When we first started, he would scream and squirm.  Little by little, we have worked up to a little boy who hops into that chair all on his own, gets the smock on and towel tucked in the back without any issues.  It's so nice.We've been consistent on the dentist as well and have taken him since he was a baby.  We actually have a dental appt. this afternoon today.  We've seen the same dentist now for 3-4 visits as our insurance changed two years ago.  This is a family practice, but it's more adult. There aren't cutie animal pics or children's videos like at his last pediatric dentist.  It's more formal and I bring the iPAD or a book.  We tell him what to expect: the dentist is going to count your teeth, brush them with a special toothbrush and flavor, and maybe take a picture.  Since learning about his sensory needs and compressions, we are going to massage his face this afternoon to get his body ready.  His mouth is sensitive.",0
349,349,Making a list of responsible chores,0
57,57,"He is an active member of our family life. We have him involved in all the things we do as a family, such as eat together, etc.",0
2416,2416,he can now focus and is doing incredibly well.,4
2461,2461,I have had a few alerts regarding new posts since I wrote this.,4
1297,1297,"Again, we struggle with attention to indoor play and games. Once my child has played with something we put it away until the next day.",0
509,509,"prep for the doctor and barber, take twins on nearly every errand (usually in the stroller), restaurants are difficult because twins don't like new food and want to run around",0
820,820,We go to restaurants I know our son will sit down and eat.,0
795,795,explanation of activity/event,0
1804,1804,Modeling correct and expected behavior,2
1689,1689,more initiative- get motived to do them on his own,1
2681,2681,then he snaps and i get worried that he will hurt my son ,4
2810,2810,There is a chance that someone on her father's side is saying things ,4
96,96,Take trash to can when has trash in hand,0
1037,1037,Social gatherings - we like to keep it simple and with people our son is familiar with.,0
2350,2350, they have no idea why this is happening.,4
1767,1767,Have child used to strangers feeding,2
3083,3083,He is only 10 years of old. ,4
1571,1571,Taking terns brushing his teeth. First it's my tern then he gets a tern. I also worked at finding a toothpaste he likes the flavor of. I will also brush my teeth while he takes his tern brushing his.,1
1114,1114,Sharing information regarding his needs so that staff can accommodate them.,0
2495,2495,what we can do about it.,4
2723,2723,yet has some obvious weaknesses with certain areas,4
567,567,Play with our kids- not merely supervise them playing,0
2275,2275,"When he gets older, put him in them.  ",4
1816,1816,Choose things that he enjoys.,2
2105,2105,I love the he has play dates and would love him to have more.,4
527,527,taking his friends,0
161,161,Bringing smart phone/tablet in case he gets fussy,0
243,243,Show her how to do it,0
253,253,Interaction with peers. ,0
2080,2080,With a lot of assistance holds and pours food into feeding bag also play grabbing and conting beans while in stander,3
1287,1287,The other kids interact with him while they play,0
1703,1703,Lettimg his see what he is capable of,1
2322,2322,"He is reading, but sometimes is impulsive and rushes through to see the pictures, not so much the words.  It would be nice to have him slow down because I do want to ask him questions about what he's seeing and make predictions about what's going to happen, describe others' feelings in the book, etc.",4
633,633,Organize more weekend activities. ,0
2960,2960,He isn't eating within the two hours before he goes to bed,4
364,364,"Physical play (walks, inside and outside games with us)",0
2943,2943, take it from there.  ,4
1837,1837,Assign him a chore to do before he is able to do something that he gets to choose to do.,2
2006,2006,Hand over hand tooth brushing,3
1251,1251,having motivating friends,0
3090,3090,often holding it and squirming around.,4
1352,1352,"By having an iPad, there is always another activity that allows him to escape.",0
1661,1661,We need to rely less on older sibling and give more responsibility to [name]. ,1
893,893,Spend one on one time showing/explaining things,0
1870,1870,Silliness and making activities seem more fun,2
415,415,go when other children aren't there,0
1810,1810,Using activities/songs shes more prone to enjoy doing,2
1482,1482,Encourage role playing,1
2899,2899,was happening after she fell asleep so i guess the pain woke her up.,4
1806,1806,Getting him to go outside,2
3067,3067,this is starting to become very costly and it is unfair on my daughters,4
2749,2749,but next evening he came up with temp again. ,4
3016,3016,"Regardless, of what you treatment you use ",4
386,386,Older sister time,0
2890,2890,She also is Dyslexic (again private diagnosis from Dyslexia Action),4
738,738,iWeb go with the purpose of exerting energy.,0
544,544,Plan ahead and tell her what is going to happen,0
3095,3095,he is unwell again now ,4
1854,1854,Giving choices,2
709,709,Include other family members in this process.,0
2782,2782,"I don't like the sound of surgery,",4
1593,1593,Offer encouragement,1
2070,2070,"We are still working on motor skills, using his limbs and fingers",3
2909,2909, when some 3rd person comes he stops playing,4
2687,2687,This could be school work ,4
138,138,"Increase complexity of imaginative play, as age appropriate",0
1847,1847,Tell her what time it is and make her do it for a little bit when time is up she is free to go,2
135,135,"Increase amount of time on potty, based on readiness cues",0
2765,2765,She won't tell you what she wants half the time ,4
705,705,"Choosing a right time of the day for dining out, hair cuts, errands. Not when a child is sick, tired, moody or hungry",0
1911,1911,make it a game or routine,2
1968,1968,Be able to wipe his face and hand with a wipe after eating.,3
2623,2623,i would be force fed on a drip,4
1719,1719,Watching where and what he seems to like.,2
601,601,Decrease screen time with other activities,0
1834,1834,We add food colouring to water to make it fun and more stimulating.  ,2
2647,2647,to see if if rings any bells for you. ,4
429,429,Find other activities for him to do,0
914,914,Prompt to wish/wipe face after meals,0
2296,2296,"Wish we had more free time for fun outings, but can't with all the therapy.",4
3054,3054,would feel terrible if it became an issue for him as he got older.,4
1397,1397,Positive reinforcement for completing these chores independently,1
2823,2823,often forgets to use soap or shampoo. ,4
1971,1971,Breaking the skill down into mini-steps and helping her learn those individually,3
720,720,I point out important or interesting things in the environment we are in.,0
508,508,Setting a timer and turning off the TVs and iPads once that time is up,0
3044,3044,"Echocardiogram, normal",4
1749,1749,"A few months ago, a car wash opened up in our area.  On a whim, we tried it to see how they'd both handle it. They loved it!  Now, it's become king of an attraction that they can sort of earn.  We usually wash our own cars to save cash, but we treat ourselves to it from time to time.  They are mesmerized by it!",2
1696,1696,The child is encouraged to communicate with peers.,1
1707,1707,"Over Christmas we had him touch, feel, smell all the food we were preparing for dinner",1
2514,2514,when i see her so afraid of the one thing that keeps her alive ,4
770,770,if his sister is helping he likes to help too,0
2327,2327,There are also salivary stones which produce those symptoms as well,4
1094,1094,needs supportive staff at school to help him transition,0
2110,2110,Child limited by not walking. PT involved,4
2526,2526,that your son's health improves. ,4
2787,2787,my daughter was ready for school at 3 1/2,4
146,146,Complete activities on the floor to help with participation ,0
1524,1524,more initiative- get him motivated to do these things on his own,1
1756,1756,"If i let him make his own choices, what toothpaste to use, what shirt he would like to wear, etc.",2
2458,2458,does how they should interact.,4
179,179,Talk her through me tidying toys or any other clean up so she knows and recognizes what I'm doing and what to expect next,0
1904,1904,"be certain that the classes are within HER interest, not just something I want her to like.",2
2710,2710,some children you can see they have them ,4
1603,1603,Positive reiforcement.,1
2618,2618,Our son has had this condition,4
37,37,Age appropriate activities,0
569,569,having more money to spare for community activity,0
1952,1952,Helping her move her arms to join in activities at circle,3
2409,2409,Sneaking in toys = connection with home,4
2875,2875,Anyone else had this experience with a child. ,4
1796,1796,Offering an allowance for extra work,2
2460,2460,Once ready for bed ,4
2163,2163,Cannot change too much since his condition and diet limits his interaction and food choices,4
2099,2099,We need to attend more religious/spiritual gatherings in order to do this,4
1070,1070,show him pictues of places we go,0
3007,3007,the similarities are very striking. ,4
2976,2976,saying a child in his class has nits.,4
1269,1269,Preparing at home by reading books and practicing songs.,0
1618,1618,Decrease social anxiety,1
1764,1764, clear expectations,2
1384,1384,Take [name] to more playgrounds,0
2106,2106,I would like y son to help feed our pets,4
2424,2424,"Ive been to eye doctor, I had a ct scan of his head it came out clean.",4
1246,1246,point out her environment to teach her knew things and words,0
2313,2313,Social demands with friends and family,4
2632,2632,"(or very rarely), ",4
1887,1887,Have to come up with new and better reinforcers.,2
1027,1027,Pictures of things to buy so she can shop,0
1334,1334,share my excitement for the trip or activity,0
1441,1441,praise for a job well done,1
2646,2646,"Your son will get that too, if he is intelligent as you say he is. ",4
2515,2515,and if he says he needs to go,4
1093,1093,Making time to plan the trips - he is always eager to go,0
2576,2576,May be around 4.10 or 4.11.,4
376,376,more opportunity to get out.,0
1416,1416,Group encouragement - everyone cheering for her and making a big deal out of the smallest tasks,1
2085,2085,Continue to work on language skills to allow easier socializing (friends have a hard time understanding what she is saying),3
732,732,Outsource more work from home to allow us to attend more birthday parties/gatherings on the weekend (we work weekends),0
1638,1638,We try to get him to try new things whenever we can with lots of support and understanding from us. He gets very fearful of physical new experiences.,1
371,371,Don't clean up for him,0
382,382,"Providing a vide selection of colorful books, coloring supplies, supplies for an art projects. Making it interesting",0
2363,2363,there are aspects of the school day / envionrment that he is struggling wiht.  ,4
2652,2652,dr said it could be that.,4
2701,2701,we noticed he get unwell ,4
2237,2237,feeling like the childcare providers care about her,4
1422,1422,Having patience and letting her make a mess,1
1195,1195,Spend more one on one time,0
2789,2789,especially if she doesnt have academic problems. ,4
427,427,"Regarding laundry and dishes, we haven't asked him to do much of this. He is most engaged by the notion of doing something together.",0
1089,1089,Having his leap pad or a tablet with us.,0
597,597,Have him watch me do my daily duties and talk and tell him what I'm doing while I'm doing it.,0
2037,2037,"For muscle memory of dressing for example, he ""helps"" pt his shirt over his head or pull up socks",3
1617,1617,Give him more opportunities to help set the table,1
165,165,We typically invite friends or family that we know get along with our son in a positive way.,0
1743,1743,activities that are matched to childs interests,2
1614,1614,We attempt to get her to help gather supplies,1
1908,1908,"[name] has some trouble with pretend play. We model appropriate pretend play for him as often as possible but as of now he just isn't very interested, although he does like to watch us pretend to be something we're not. He smiles a lot and laughs when appropriate.",2
2160,2160,Goes to preschool currently so he knows what it is like to interact with his peers. ,4
1470,1470,Explain to him why he's needed to help and contribute,1
2775,2775, he'll enjoy doing it.,4
1890,1890,"Overtime, I will enforce that she uses her teeth to chew slowly instead of eating blended food. ",2
1318,1318,Took for walk yesterday,0
1446,1446,When I change his brothers diaper I ask [name] to throw away the dirty diaper or get the wipes for me. Sometimes he will help but not often. I will keep asking,1
22,22,"Have him near us when we do activities, learn from watching",0
1930,1930,Goal setting for a toy - he has a chore sheet,2
