,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Dataset,ID,strategy,broad activity ,setting ,label,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
53,53,3155,3712,3962,4286,SNF Supp.,990,To have more choices available in the community ,community sponsored,community,2.0,,,,,,,,,,,,,,,,,,,,
54,54,3153,3710,3960,4284,SNF Supp.,990,"Showing a child how much you are interested and excited about regular chores, trying to get him involved and reward if he complies",chore,home,2.0,,,,,,,,,,,,,,,,,,,,
55,55,3144,3701,3951,4275,SNF Supp.,990,"Making a child feel safe and welcome, a part of the community. ",community,community,1.0,,,,,,,,,,,,,,,,,,,,
56,56,2837,3394,3644,3968,SNF Supp.,893,Reminding him that he can cover his ears if noise is too loud,community,community,1.0,,,,,,,,,,,,,,,,,,,,
57,57,2838,3395,3645,3969,SNF Supp.,893,Schedule more play date,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
58,58,2815,3372,3622,3946,SNF Supp.,893,Getting rest: [name] has a hard time relaxing and resting. He no longer takes naps. When his younger brother naps he has quiet time by watching tv or doing something quiet.,basic care routine,home,4.0,,,,,,,,,,,,,,,,,,,,
59,59,2826,3383,3633,3957,SNF Supp.,893,"Make sure [name] has snacks throughout the day, I have noticed when he has not eaten his behaviors are aorse",home,home,0.0,,,,,,,,,,,,,,,,,,,,
60,60,2840,3397,3647,3971,SNF Supp.,893,Screen time: I have been trying to have [name] do painting ot coloring during quiet time instead of watching tv.,play,home,2.0,,,,,,,,,,,,,,,,,,,,
61,61,2819,3376,3626,3950,SNF Supp.,893,"Had to take [name] to the ER recently and he screamed all the way in,while there and on the way out. I think the unknown and new environment made him very scared. To help him I asked for a blanket for him to hold onto and talked about all of his favorite movies and characters",outing ,community,0.0,,,,,,,,,,,,,,,,,,,,
62,62,2820,3377,3627,3951,SNF Supp.,893,"I cut [name]'s hair at home and he really hates it. It is quite the struggle to get it cut, using a reinforcement like watching an extra video clip has helped",outing ,community,2.0,,,,,,,,,,,,,,,,,,,,
63,63,2816,3373,3623,3947,SNF Supp.,893,"Getting rest: [name] has a very hard time falling asleep and staying asleep at night. His pediatrician recommended melatonin. This has helped a lot. He still wakes up at night and wakes very early in the morning, but is getting more sleep than he use to.",basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
64,64,2839,3396,3646,3970,SNF Supp.,893,"Schedule play date with new friends, so he can meet others",community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
65,65,2813,3370,3620,3944,SNF Supp.,893,"Getting dressed, [name] has been practicing dressing himself and can now get dressed by himself with assistance.",basic care routine,home,3.0,,,,,,,,,,,,,,,,,,,,
66,66,2853,3410,3660,3984,SNF Supp.,893,When I change his brothers diaper I ask [name] to throw away the dirty diaper or get the wipes for me. Sometimes he will help but not often. I will keep asking,chore,home,1.0,,,,,,,,,,,,,,,,,,,,
67,67,2851,3408,3658,3982,SNF Supp.,893,When he does have friends over or goes to their house to play I try to encourage interaction between [name] and peers,socializing,home,0.0,,,,,,,,,,,,,,,,,,,,
68,68,2825,3382,3632,3956,SNF Supp.,893,Let [name] play outside more often and explore outdoors,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
69,69,2814,3371,3621,3945,SNF Supp.,893,"Getting rest: During his baby brothers nap, [name] watches a tv show or paints/colors for rest time since he will no longer takes naps",basic care routine,home,4.0,,,,,,,,,,,,,,,,,,,,
70,70,2854,3411,3661,3985,SNF Supp.,893,"When [name] goes to play groups his conversation with children is awkward, he only wants to talk about what he is interested in. I encourage and help [name] to talk about other things.",community sponsored,community,1.0,,,,,,,,,,,,,,,,,,,,
71,71,2823,3380,3630,3954,SNF Supp.,893,Invite more people over for him to play with,home,home,0.0,,,,,,,,,,,,,,,,,,,,
72,72,2827,3384,3634,3958,SNF Supp.,893,Make sure the grocery store I shop at has a car cart so [name] is happy during shopping trip,community,community,0.0,,,,,,,,,,,,,,,,,,,,
73,73,2847,3404,3654,3978,SNF Supp.,893,Talk through in steps what we will be doing before getting there,community,community,0.0,,,,,,,,,,,,,,,,,,,,
74,74,2834,3391,3641,3965,SNF Supp.,893,"[name] is very into movies and toy review clips on YouTube. We have limited the amount of time he can watch his toy review videos to 3 x a day. Morning, afternoon and evening.",play,home,0.0,,,,,,,,,,,,,,,,,,,,
75,75,2846,3403,3653,3977,SNF Supp.,893,Taking a bath: [name] does not like his hair washed or touched. We have started to let him try to dump water on his head himself to wash hair and this seems to make it a little more bearable,basic care routine,home,1.0,,,,,,,,,,,,,,,,,,,,
76,76,2841,3398,3648,3972,SNF Supp.,893,Take him to more events ,community,community,0.0,,,,,,,,,,,,,,,,,,,,
77,77,2852,3409,3659,3983,SNF Supp.,893,When I bring groceries home [name] likes to help carry the grocery bags from the door to the kitchen table,chore,home,4.0,,,,,,,,,,,,,,,,,,,,
78,78,2850,3407,3657,3981,SNF Supp.,893,"We have no family in town, but we FaceTime almost daily with grandparents",socializing,home,0.0,,,,,,,,,,,,,,,,,,,,
79,79,2844,3401,3651,3975,SNF Supp.,893,Take [name] to more playgrounds,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
80,80,2830,3387,3637,3961,SNF Supp.,893,[name] has a hard time with transitions at doctor appointments and sometimes it takes a lot of reinforcement to help him through it,outing ,community,2.0,,,,,,,,,,,,,,,,,,,,
81,81,2822,3379,3629,3953,SNF Supp.,893,I need to invite more of his peers over to our place to play or to meet at a park,socializing,home,0.0,,,,,,,,,,,,,,,,,,,,
82,82,2817,3374,3624,3948,SNF Supp.,893,Give him more opportunities to help set the table,chore,home,1.0,,,,,,,,,,,,,,,,,,,,
83,83,2848,3405,3655,3979,SNF Supp.,893,Use a chore chart for reinforcement,home,home,2.0,,,,,,,,,,,,,,,,,,,,
84,84,2824,3381,3631,3955,SNF Supp.,893,It is hard to get [name] to pick up his toys. He now has a chore chart and this helps to motivate him,chore,home,0.0,,,,,,,,,,,,,,,,,,,,
85,85,2843,3400,3650,3974,SNF Supp.,893,Take [name] to more activities so he can get use to more sensory stimulation ,community,community,0.0,,,,,,,,,,,,,,,,,,,,
86,86,2828,3385,3635,3959,SNF Supp.,893,"[name] can not pedal a bike, I can give him more opportunities to practice his tricycle",recreational,community,3.0,,,,,,,,,,,,,,,,,,,,
87,87,2821,3378,3628,3952,SNF Supp.,893,I have been encouraging [name] to help take care of his baby brother. We talk about importance of caring for others and family,chore,home,1.0,,,,,,,,,,,,,,,,,,,,
88,88,2835,3392,3642,3966,SNF Supp.,893,"[name] now has a chore chart and eats a star very every chore he completes. Picking up his toys is one of those chores, the chart has helped.",chore,home,0.0,,,,,,,,,,,,,,,,,,,,
89,89,2818,3375,3625,3949,SNF Supp.,893,Give [name] more opportunity to play outside,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
90,90,2831,3388,3638,3962,SNF Supp.,893,[name] has been doing board games with his OT and learning the steps of playing game and taking turns,play,home,3.0,,,,,,,,,,,,,,,,,,,,
91,91,2849,3406,3656,3980,SNF Supp.,893,Watch [name] from a close distance and let him do more on his own,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
92,92,2811,3368,3618,3942,SNF Supp.,893,Encourage [name] to do more things on his own,home,home,1.0,,,,,,,,,,,,,,,,,,,,
93,93,2812,3369,3619,3943,SNF Supp.,893,Encourage [name] to do thins on his own,home,home,1.0,,,,,,,,,,,,,,,,,,,,
94,94,2833,3390,3640,3964,SNF Supp.,893,"[name] is not interested in building, dress up or puzzles. He does enjoy doing workbook pages during homeschool though",play,home,4.0,,,,,,,,,,,,,,,,,,,,
95,95,2842,3399,3649,3973,SNF Supp.,893,Take [name] to meet new children in community,community,community,0.0,,,,,,,,,,,,,,,,,,,,
96,96,2810,3367,3617,3941,SNF Supp.,893,Encourage [name] not to get upset when routines change or he does not get what he wants,home,home,1.0,,,,,,,,,,,,,,,,,,,,
97,97,2836,3393,3643,3967,SNF Supp.,893,"Personal care: [name] has been working on getting dressed on his own, but continues to struggle with this. I try to give him the opportunity to do it on his own as much as possible.",basic care routine,home,3.0,,,,,,,,,,,,,,,,,,,,
98,98,2832,3389,3639,3963,SNF Supp.,893,"[name] has obsessions with certain movies and characters and he constantly wants to watch YouTube toy reviews.He has a chart and is allowed to watch one in the morning, afternoon and evening. The chart has helped to narrow it down to three times a day",play,home,0.0,,,,,,,,,,,,,,,,,,,,
99,99,2829,3386,3636,3960,SNF Supp.,893,"[name] does not like to do puzzles, play with blocks or dress up. I have been giving more opportunities for him to do puzzles and providing encouragement ",play,home,0.0,,,,,,,,,,,,,,,,,,,,
100,100,2845,3402,3652,3976,SNF Supp.,893,Take [name] to playground more often,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
101,101,898,1455,1455,1779,SNF Supp.,72,he never has done them because he is not good in social settings,group,community,4.0,,,,,,,,,,,,,,,,,,,,
102,102,924,1481,1481,1805,SNF Supp.,72,side by side play,home,home,0.0,,,,,,,,,,,,,,,,,,,,
103,103,890,1447,1447,1771,SNF Supp.,72,Encourage to try new things,classes and groups,community,1.0,,,,,,,,,,,,,,,,,,,,
104,104,911,1468,1468,1792,SNF Supp.,72,make it a habit,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
105,105,903,1460,1460,1784,SNF Supp.,72,let him pick out different games to do on phone,play,home,2.0,,,,,,,,,,,,,,,,,,,,
106,106,885,1442,1442,1766,SNF Supp.,72,do rewards,chore,home,0.0,,,,,,,,,,,,,,,,,,,,
107,107,888,1445,1445,1769,SNF Supp.,72,encourage him a share and participate,social ,home,1.0,,,,,,,,,,,,,,,,,,,,
108,108,932,1489,1489,1813,SNF Supp.,72,Try to go more,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
109,109,884,1441,1441,1765,SNF Supp.,72,bring things to occupy him,community,community,0.0,,,,,,,,,,,,,,,,,,,,
110,110,902,1459,1459,1783,SNF Supp.,72,keep organized,home,home,0.0,,,,,,,,,,,,,,,,,,,,
111,111,931,1488,1488,1812,SNF Supp.,72,try to avoid people and noises,community,community,0.0,,,,,,,,,,,,,,,,,,,,
112,112,892,1449,1449,1773,SNF Supp.,72,get down and participate with him,home,home,0.0,,,,,,,,,,,,,,,,,,,,
113,113,918,1475,1475,1799,SNF Supp.,72,read books about outings,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
114,114,894,1451,1451,1775,SNF Supp.,72,get him excited,basic care routine,home,2.0,,,,,,,,,,,,,,,,,,,,
115,115,917,1474,1474,1798,SNF Supp.,72,read books about it,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
116,116,925,1482,1482,1806,SNF Supp.,72,social stories,community,community,0.0,,,,,,,,,,,,,,,,,,,,
117,117,905,1462,1462,1786,SNF Supp.,72,Make it a game,basic care routine,home,2.0,,,,,,,,,,,,,,,,,,,,
118,118,891,1448,1448,1772,SNF Supp.,72,finding fun puzzels on tablet,play,home,2.0,,,,,,,,,,,,,,,,,,,,
119,119,880,1437,1437,1761,SNF Supp.,72,bring familiar things,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
120,120,927,1484,1484,1808,SNF Supp.,72,take familiar items,community,community,0.0,,,,,,,,,,,,,,,,,,,,
121,121,897,1454,1454,1778,SNF Supp.,72,go when other children aren't there,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
122,122,904,1461,1461,1785,SNF Supp.,72,make chore list,chore,home,0.0,,,,,,,,,,,,,,,,,,,,
123,123,919,1476,1476,1800,SNF Supp.,72,read books to him about it,community,community,0.0,,,,,,,,,,,,,,,,,,,,
124,124,914,1471,1471,1795,SNF Supp.,72,picture schedule,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
125,125,882,1439,1439,1763,SNF Supp.,72,bring his headphones,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
126,126,889,1446,1446,1770,SNF Supp.,72,encourage him to do it himself,basic care routine,home,1.0,,,,,,,,,,,,,,,,,,,,
127,127,906,1463,1463,1787,SNF Supp.,72,make it a game,basic care routine,home,2.0,,,,,,,,,,,,,,,,,,,,
128,128,922,1479,1479,1803,SNF Supp.,72,show him other children doing it,classes and groups,community,0.0,,,,,,,,,,,,,,,,,,,,
129,129,896,1453,1453,1777,SNF Supp.,72,Get him to watch different shows,play,home,2.0,,,,,,,,,,,,,,,,,,,,
130,130,883,1440,1440,1764,SNF Supp.,72,bring something familiar to him,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
131,131,933,1490,1490,1814,SNF Supp.,72,urging him to help and getting him excited about it,chore,home,1.0,,,,,,,,,,,,,,,,,,,,
132,132,923,1480,1480,1804,SNF Supp.,72,show him pictues of places we go,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
133,133,887,1444,1444,1768,SNF Supp.,72,don't force him to socialize,social ,home,1.0,,,,,,,,,,,,,,,,,,,,
134,134,916,1473,1473,1797,SNF Supp.,72,Read and tell stories about outings,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
135,135,901,1458,1458,1782,SNF Supp.,72,just don't tell him we are going,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
136,136,929,1486,1486,1810,SNF Supp.,72,take own toys,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
137,137,899,1456,1456,1780,SNF Supp.,72,help him interact with others,social ,home,3.0,,,,,,,,,,,,,,,,,,,,
138,138,881,1438,1438,1762,SNF Supp.,72,bring familiar things with him,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
139,139,893,1450,1450,1774,SNF Supp.,72,Get him comfortable,neighborhood outings,community,1.0,,,,,,,,,,,,,,,,,,,,
140,140,928,1485,1485,1809,SNF Supp.,72,take him to familiar places,community,community,0.0,,,,,,,,,,,,,,,,,,,,
141,141,915,1472,1472,1796,SNF Supp.,72,put him in a room with less kids,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
142,142,926,1483,1483,1807,SNF Supp.,72,take a toy,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
143,143,895,1452,1452,1776,SNF Supp.,72,Get him excited,home,home,2.0,,,,,,,,,,,,,,,,,,,,
144,144,886,1443,1443,1767,SNF Supp.,72,do things he enjoys,home,home,2.0,,,,,,,,,,,,,,,,,,,,
145,145,912,1469,1469,1793,SNF Supp.,72,make social stories,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
146,146,934,1491,1491,1815,SNF Supp.,72,Using picture schedule,basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
147,147,920,1477,1477,1801,SNF Supp.,72,read stories about these activities,classes and groups,community,0.0,,,,,,,,,,,,,,,,,,,,
148,148,930,1487,1487,1811,SNF Supp.,72,taking turns doing it,chore,home,1.0,,,,,,,,,,,,,,,,,,,,
149,149,910,1467,1467,1791,SNF Supp.,72,make it a game or routine,home,home,2.0,,,,,,,,,,,,,,,,,,,,
150,150,913,1470,1470,1794,SNF Supp.,72,"Make steps in which he can do it, doing paralle to him",basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
151,151,921,1478,1478,1802,SNF Supp.,72,show him other children do it,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
152,152,2574,3131,3381,3705,SNF Supp.,792,Live in an apartment building with a playroom.,community,community,0.0,,,,,,,,,,,,,,,,,,,,
153,153,2580,3137,3387,3711,SNF Supp.,792,Nanny needs to take him to classes.,educational,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
154,154,2558,3115,3365,3689,SNF Supp.,792,He is not in daycare - he has a nanny.,daycare/preschool,daycare/preschool,4.0,,,,,,,,,,,,,,,,,,,,
155,155,2576,3133,3383,3707,SNF Supp.,792,Making new friends (the nanny does this),educational,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
156,156,2581,3138,3388,3712,SNF Supp.,792,Nanny or us making time to go to activities.,community,community,0.0,,,,,,,,,,,,,,,,,,,,
157,157,2575,3132,3382,3706,SNF Supp.,792,Make an effort to arrange play dates on the weekends.,educational,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
158,158,2548,3105,3105,3429,SNF Supp.,792,Better when we find things to do on a weekend.,community,community,0.0,,,,,,,,,,,,,,,,,,,,
159,159,2551,3108,3358,3682,SNF Supp.,792,Find new things to do each week.,community,community,0.0,,,,,,,,,,,,,,,,,,,,
160,160,2555,3112,3362,3686,SNF Supp.,792,Have a great nanny and outside experts to come to the apartment to proactively advance him.,home,home,0.0,,,,,,,,,,,,,,,,,,,,
161,161,2573,3130,3380,3704,SNF Supp.,792,I love the he has play dates and would love him to have more.,educational,daycare/preschool,4.0,,,,,,,,,,,,,,,,,,,,
162,162,2556,3113,3363,3687,SNF Supp.,792,Have more reasonably priced activities for kids.  I just paid $75 for a 90 minute class today.,community,community,0.0,,,,,,,,,,,,,,,,,,,,
163,163,2550,3107,3357,3681,SNF Supp.,792,Encourage nanny to spend at least 3 hours a day playing.,play,home,0.0,,,,,,,,,,,,,,,,,,,,
164,164,2577,3134,3384,3708,SNF Supp.,792,my child does not attend organized daycare/preschool,daycare/preschool,daycare/preschool,4.0,,,,,,,,,,,,,,,,,,,,
165,165,2570,3127,3377,3701,SNF Supp.,792,he is too young right now.  This will change as he grows.,socializing,home,4.0,,,,,,,,,,,,,,,,,,,,
166,166,2582,3139,3389,3713,SNF Supp.,792,Nanny to arrange for more play dates.,play,home,0.0,,,,,,,,,,,,,,,,,,,,
167,167,2583,3140,3390,3714,SNF Supp.,792,"spend a lot of time engaging with our son - reading, talking, listening to music.",home,home,0.0,,,,,,,,,,,,,,,,,,,,
168,168,2549,3106,3356,3680,SNF Supp.,792,Buy thoughtful engaging products.,home,home,0.0,,,,,,,,,,,,,,,,,,,,
169,169,2561,3118,3368,3692,SNF Supp.,792,He is too young at the moment.  He will surely do as he gets older.,group,community,4.0,,,,,,,,,,,,,,,,,,,,
170,170,2547,3104,3104,3428,SNF Supp.,792,Ask nanny to take him to play classes in the neighborhood.,play,home,0.0,,,,,,,,,,,,,,,,,,,,
171,171,2584,3141,3391,3715,SNF Supp.,792,Spend quality time together engaged in a variety of activities.,home,home,0.0,,,,,,,,,,,,,,,,,,,,
