,Unnamed: 0,ID,Entries,Forum,Forum size (# of posts),Age of Child,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,label,strategy
47,47,3017,She has 16 teeth out of 20 and is due to turn 3 in December.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,She has 16 teeth out of 20 and is due to turn 3 in December.
48,48,3017,Her mother suffers from Schitzophrenia and was being treated with Sodium Valproate during her pregnancy.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,Her mother suffers from Schitzophrenia and was being treated with Sodium Valproate during her pregnancy.
49,49,3018,My just turned two year old is showing signs of coronavirus or another virus/cold.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,My just turned two year old is showing signs of coronavirus or another virus/cold.
50,50,3018,"he only only turned two last weekend, and is very active, inquisitive and into everything",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,"he only only turned two last weekend, and is very active, inquisitive and into everything"
51,51,3018,i also have a 5 week old newborn.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,i also have a 5 week old newborn.
52,52,3019,"My son complained of a few episodes over a year ago, the episodes stopped. ",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,,,,,,,,,,,,,,,,,,,,,,,,4,"My son complained of a few episodes over a year ago, the episodes stopped. "
53,53,3019,The episodes started up again for a month and a half.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,,,,,,,,,,,,,,,,,,,,,,,,4,The episodes started up again for a month and a half.
54,54,3019,"He says he hears loud fast screams in his head, he feels like he is holding something but nothing in his hands and he focuses on a face and suddenly the face looks far away",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,,,,,,,,,,,,,,,,,,,,,,,,4,"He says he hears loud fast screams in his head, he feels like he is holding something but nothing in his hands and he focuses on a face and suddenly the face looks far away"
55,55,3019,Throughout the day he complains on looking at a face its far away.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,,,,,,,,,,,,,,,,,,,,,,,,4,Throughout the day he complains on looking at a face its far away.
56,56,3019,"Ive been to eye doctor, I had a ct scan of his head it came out clean.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,,,,,,,,,,,,,,,,,,,,,,,,4,"Ive been to eye doctor, I had a ct scan of his head it came out clean."
57,57,3019,Im waiting to set appointment for EEG to see if its seizures. ,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,,,,,,,,,,,,,,,,,,,,,,,,4,Im waiting to set appointment for EEG to see if its seizures. 
58,58,3020,"In the past month or so, my 4-and-a-half-months boy has really been struggling to nurse.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,,,,,,,,,,,,,,,,,,,,,,4,"In the past month or so, my 4-and-a-half-months boy has really been struggling to nurse."
59,59,3020," After no more than 5 minutes at each breast, he begins to grunt so terribly that you'd think he's in terrible pain",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,,,,,,,,,,,,,,,,,,,,,,4," After no more than 5 minutes at each breast, he begins to grunt so terribly that you'd think he's in terrible pain"
60,60,3020,"He sometimes also stretches out completely (like a plank), or brings his knees in towards his tummy, perhaps because of cramps.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,,,,,,,,,,,,,,,,,,,,,,4,"He sometimes also stretches out completely (like a plank), or brings his knees in towards his tummy, perhaps because of cramps."
61,61,3020,But to me my baby's continuing torments at the breast suggest he's not getting enough nourishment.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,,,,,,,,,,,,,,,,,,,,,,4,But to me my baby's continuing torments at the breast suggest he's not getting enough nourishment.
62,62,3020,"Indeed, my breasts feel both less ""productive"" (due to the decreased demand) and less ""emptied"" than before. ",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,,,,,,,,,,,,,,,,,,,,,,4,"Indeed, my breasts feel both less ""productive"" (due to the decreased demand) and less ""emptied"" than before. "
63,63,3020,"Even though he still looks happy and healthy, he's gaining less and less weight: while at the 75th weight-distribution percentile at 3 months of age (6.2 kg)",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,,,,,,,,,,,,,,,,,,,,,,4,"Even though he still looks happy and healthy, he's gaining less and less weight: while at the 75th weight-distribution percentile at 3 months of age (6.2 kg)"
64,64,3020,"Also, he has wet diapers regularly, though less than before. But dirty diapers only come once every other day or so, sometimes rarer, albeit with large ""output""",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,,,,,,,,,,,,,,,,,,,,,,4,"Also, he has wet diapers regularly, though less than before. But dirty diapers only come once every other day or so, sometimes rarer, albeit with large ""output"""
65,65,3020,"All of this wouldn’t worry me had it not been for all the moaning, and the reduced weight-gain.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,,,,,,,,,,,,,,,,,,,,,,4,"All of this wouldnt worry me had it not been for all the moaning, and the reduced weight-gain."
66,66,3020,I wonder if he'd be more accepting of formula milk instead of (or in addition to) my breastmilk.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,1213 current ns,,,,,,,,,,,,,,,,,,,,,4,I wonder if he'd be more accepting of formula milk instead of (or in addition to) my breastmilk.
67,67,3020,"But he's been breastfeed from the very beginning, and I don't know if mixing at this stage is a good idea. ",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,2824 strat,,,,,,,,,,,,,,,,,,,,,4,"But he's been breastfeed from the very beginning, and I don't know if mixing at this stage is a good idea. "
68,68,3020,"with this frequent reflux and intense gas, I worry weaning him so early will make his situation worse.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,need 1611 ns,,,,,,,,,,,,,,,,,,,,,4,"with this frequent reflux and intense gas, I worry weaning him so early will make his situation worse."
69,69,3020,"Ideally I'd like to know what the medical literature says about mixing breast- and formula-milk at 4.5 months, or about early weaning in response to restless breastfeeding",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4.5 m,,,,,,,,,,,,,,,,,,,,,,,4,"Ideally I'd like to know what the medical literature says about mixing breast- and formula-milk at 4.5 months, or about early weaning in response to restless breastfeeding"
70,70,3021,My 3 year old daughter had her tonsils and adenoids out weds morning for sleep apnea. ,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,3,,,,,,,,,,,,,,,,,,,,,,,4,My 3 year old daughter had her tonsils and adenoids out weds morning for sleep apnea. 
71,71,3021,She is snoring worse then she did before and waking coughing and snorting. ,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,3,,,,,,,,,,,,,,,,,,,,,,,4,She is snoring worse then she did before and waking coughing and snorting. 
72,72,3021," No sleep for me last night, she is in my bed for 4hourly meds and my god the snoring is loud.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,3,,,,,,,,,,,,,,,,,,,,,,,4," No sleep for me last night, she is in my bed for 4hourly meds and my god the snoring is loud."
73,73,3021,"In general, some children have large tonsils and adenoids, which may be the main cause of snoring.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,,,,,,,,,,,,,,,,,,,,,,,,4,"In general, some children have large tonsils and adenoids, which may be the main cause of snoring."
74,74,3021, i went through it all with my son 14 years ago and its looking the same for my 4 year old.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,,,,,,,,,,,,,,,,,,,,,,,,4, i went through it all with my son 14 years ago and its looking the same for my 4 year old.
75,75,3022,"My 9 year old daughter has been getting what appears to be petechiae, about 6 or so times in the last month or two she has no other obvious symptoms",,,9,,,,,,,,,,,,,,,,,,,,,,,4,"My 9 year old daughter has been getting what appears to be petechiae, about 6 or so times in the last month or two she has no other obvious symptoms"
76,76,3022,we have not identified any food or item that she may have touched for this reaction.,,,9,,,,,,,,,,,,,,,,,,,,,,,4,we have not identified any food or item that she may have touched for this reaction.
77,77,3022,"Should we be concerned, given she has no other symptoms?",,,9,,,,,,,,,,,,,,,,,,,,,,,4,"Should we be concerned, given she has no other symptoms?"
78,78,3022,have you changed detergent or soap/wash recently?,,,9,,,,,,,,,,,,,,,,,,,,,,,4,have you changed detergent or soap/wash recently?
79,79,3023,My 4months old son has lesion.,,,4 m,,,,,,,,,,,,,,,,,,,,,,,4,My 4months old son has lesion.
80,80,3023,MRI SCAN findings are suggestive of Hemangioma left side chest wall with extension into pleural space from 4th to 7th inter costal space,,,4 m,,,,,,,,,,,,,,,,,,,,,,,4,MRI SCAN findings are suggestive of Hemangioma left side chest wall with extension into pleural space from 4th to 7th inter costal space
81,81,3023, one doctor is suggesting to do surgery and another doctor is saying that can cure it through injection,,,4 m,,,,,,,,,,,,,,,,,,,,,,,4, one doctor is suggesting to do surgery and another doctor is saying that can cure it through injection
82,82,3024,my 13 year old has noticed a dent (as he calls it) in his chest,,,13,,,,,,,,,,,,,,,,,,,,,,,4,my 13 year old has noticed a dent (as he calls it) in his chest
83,83,3024,we noticed it a while ago and as he is so tall and slim we thought It was just part of him growing,,,13,,,,,,,,,,,,,,,,,,,,,,,4,we noticed it a while ago and as he is so tall and slim we thought It was just part of him growing
84,84,3024, a month later it seems more sunken.,,,13,,,,,,,,,,,,,,,,,,,,,,,4, a month later it seems more sunken.
85,85,3024,he also mentioned hypermobility apparently the 2 somehow link.,,,13,,,,,,,,,,,,,,,,,,,,,,,4,he also mentioned hypermobility apparently the 2 somehow link.
86,86,3024,hes so nervous and reading all sorts about it,,,13,,,,,,,,,,,,,,,,,,,,,,,4,hes so nervous and reading all sorts about it
87,87,3024,I'm nervous too ive never heard of these,,,13,,,,,,,,,,,,,,,,,,,,,,,4,I'm nervous too ive never heard of these
88,88,3025,Hi my 9 year old son has been diagnosed with Pectus Sunken Chest.,,,9,,,,,,,,,,,,,,,,,,,,,,,4,Hi my 9 year old son has been diagnosed with Pectus Sunken Chest.
89,89,3025,"treatment is only available in the Beacon Hospital, Dublin for people living in Ireland.",,,9,,,,,,,,,,,,,,,,,,,,,,,4,"treatment is only available in the Beacon Hospital, Dublin for people living in Ireland."
90,90,3025,has anyone undergone this treatment and what was the success rate,,,9,,,,,,,,,,,,,,,,,,,,,,,4,has anyone undergone this treatment and what was the success rate
91,91,3026,he was happy doing the half days extremely unhappy about doing full days all week,,,,,,,,,,,,,,,,,,,,,,,,,,4,he was happy doing the half days extremely unhappy about doing full days all week
92,92,3026,he has spat at his sister hit his siblings told me he hates me and that he doesn't want to go to school ,,,,,,,,,,,,,,,,,,,,,,,,,,4,he has spat at his sister hit his siblings told me he hates me and that he doesn't want to go to school 
93,93,3026,he hate school he's tried sneaking toys into school for Comfort but they won't allow him to keep it,,,,,,,,,,,,,,,,,,,,,,,,,,4,he hate school he's tried sneaking toys into school for Comfort but they won't allow him to keep it
94,94,3026,they won't allow him to keep it with him or in school at all he keeps saying he's nervous about going in,,,,,,,,,,,,,,,,,,,,,,,,,,4,they won't allow him to keep it with him or in school at all he keeps saying he's nervous about going in
95,95,3026,he really isn't happy and I was just wondering is there anything I can do to help him adjust,,,,,,,,,,,,,,,,,,,,,,,,,,4,he really isn't happy and I was just wondering is there anything I can do to help him adjust
96,96,3027,Sneaking in toys = connection with home,,,,,,,,,,,,,,,,,,,,,,,,,,4,Sneaking in toys = connection with home
97,97,3027,Shame he wasn't allowed to keep one with him,,,,,,,,,,,,,,,,,,,,,,,,,,4,Shame he wasn't allowed to keep one with him
98,98,3026,can't get through to him about him having to go to school and he is getting very upset every morning,,,,,,,,,,,,,,,,,,,,,,,,,,4,can't get through to him about him having to go to school and he is getting very upset every morning
99,99,3026,soon as he comes out of school he says he doesn't want to go back in,,,,,,,,,,,,,,,,,,,,,,,,,,4,soon as he comes out of school he says he doesn't want to go back in
100,100,3026, I don't no how to help him through this because of his conuacation problems,,,,,,,,,,,,,,,,,,,,,,,,,,4, I don't no how to help him through this because of his conuacation problems
101,101,3027,A child psychologist might be able to help. Though you'd probably have to wait a long time for an appointment.,,,,,,,,,,,,,,,,,,,,,,,,,,4,A child psychologist might be able to help. Though you'd probably have to wait a long time for an appointment.
102,102,3027,My grandson had separation anxiety when he was little,,,,,,,,,,,,,,,,,,,,,,,,,,4,My grandson had separation anxiety when he was little
103,103,3027,I hope other Mums respond with their experiences ,,,,,,,,,,,,,,,,,,,,,,,,,,4,I hope other Mums respond with their experiences 
104,104,3026,with great difficulty there's a lot of things that he struggles to understand,,,,,,,,,,,,,,,,,,,,,,,,,,4,with great difficulty there's a lot of things that he struggles to understand
105,105,3026,his understanding of situations is very limited ,,,,,,,,,,,,,,,,,,,,,,,,,,4,his understanding of situations is very limited 
106,106,3027,It's good that he recognises the effect he has on you,,,,,,,,,,,,,,,,,,,,,,,,,,4,It's good that he recognises the effect he has on you
107,107,3027,Hope it's the same when he's done something that makes you happy,,,,,,,,,,,,,,,,,,,,,,,,,,4,Hope it's the same when he's done something that makes you happy
108,108,3028,when he got upset/angery yesterday over his device he managed to find a key and get out without myself ,,,6,,,,,,,,,,,,,,,,,,,,,,,4,when he got upset/angery yesterday over his device he managed to find a key and get out without myself 
109,109,3028,he didnt get far and i have spoken to him over it,,,6,,,,,,,,,,,,,,,,,,,,,,,4,he didnt get far and i have spoken to him over it
110,110,3028,all i could make out is he needed to run and wanted to go to school to see his friends,,,6,,,,,,,,,,,,,,,,,,,,,,,4,all i could make out is he needed to run and wanted to go to school to see his friends
111,111,3028,since he has been brought home he is constantly nodding off and saying he is tired,,,6,,,,,,,,,,,,,,,,,,,,,,,4,since he has been brought home he is constantly nodding off and saying he is tired
112,112,3028,hole ordeal over simulated him that much and effected him in a way its completly worn him out,,,6,,,,,,,,,,,,,,,,,,,,,,,4,hole ordeal over simulated him that much and effected him in a way its completly worn him out
113,113,3028, no matter how late he has stayed up he has never been like this ,,,6,,,,,,,,,,,,,,,,,,,,,,,4, no matter how late he has stayed up he has never been like this 
114,114,3028,once again he was up most of the night and his morning he got up at 9am had something to eat and nodded back off,,,6,,,,,,,,,,,,,,,,,,,,,,,4,once again he was up most of the night and his morning he got up at 9am had something to eat and nodded back off
115,115,3028,im hoping there is someone with bit more experance with children like my son who could shed a little light ,,,6,,,,,,,,,,,,,,,,,,,,,,,4,im hoping there is someone with bit more experance with children like my son who could shed a little light 
116,116,3029,My step daughter is now in a womens large and in a size 16 pants,,,11,,,,,,,,,,,,,,,,,,,,,,,4,My step daughter is now in a womens large and in a size 16 pants
