Dataset,ID,strategy ,broad activity ,setting ,rating,,,,,,,,,,,,,,,,,,,,
PROSPECT,77,"I model behavior for my daughter that I want to encourage.  Taking turns, saying hello, thank you, using hand sanitizer, etc.  She can be shy and slow to warm up in unfamiliar group situations so showing her that I'm having fun doing an activity seems to make her feel more comfortable to give it a try herself.",play,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,77,"I started her in swim class as a mommy and me type of class.  She was very comfortable and the instructors quickly recommended she move on to the next class with  me out of the water and her working with an instructor directly (not one on one, there is another child in the class but no parents).  I think giving her time away from me with another adult she can trust gives her a different sense of confidence and esteem.  ",classes and groups,community ,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,77,"She likes babies and likes to be helpful so if there is something she can do to help a  out, especially with a baby it's a reliable win.  It could be just entertaining the baby for a moment, handing something the parent requested, etc.",social,home,2,,,,,,,,,,,,,,,,,,,,
PROSPECT,77,The exact opposite is true in her music class.  She is much more shy and clingy.  I do a mix of giving her space to run around when she lets loose but she definitely wants to stay close in that class.  It is also our newest class.  I try to be there for her but still make a point not push her towards independence.  Example: for family dance time she wants me to pick her up for dancing.  I may begin with that as I know she's not comfortable but after a short bit I put her down and I know she loves to spin so we spin together and she gradually works up to dancing more independently.  ,classes and groups,community ,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,77,"We don't do as much socialization as we probably would have pre-pandemic so our interactions with close friends and family (we don't have any family in the state) are pretty limited.  She goes to daycare 2 days a week, the other 3 week days we go to a scheduled class and over the weekend we may or may not see friends (lately it's been less so than over the summer).  She can be shy to initiate an interaction so sometimes sitting with her to play can help her get more comfortable before leaving her to play either by herself or with other kids.",social,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,77,We have also successfully taken an opposite approach where we stand off more and give her time and space to play independently or initiate an interaction on her own.  It does take longer than if we were directly guiding her but we want her to be comfortable without requiring our help 100% of the time.,social,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,78,"Again, I'm not really sure how to answer any questions in this section, as my child isn't even sitting up unassisted yet or able to really communicate at all.  He's developmentally/cognitively 9 months old, and so cannot be expected to do any of this.  I do hope that one day he will be able to participate, but we have many other steps to accomplish first.",play,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,78,"All of the adults in my family will play games with him, give hugs (his favorite), do various speech/physical/occupational therapy activities with him, etc.",social,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,78,"Due to COVID, my son only leaves the house for outdoor activities away from others, and doctor appointments.  He's in psychotherapy to help deal with the trauma he experienced during previous hospitalizations, since it makes new doctor appointments very difficult for him.",neighborhood outings,community ,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,78,"I put the activity in front of him, show him how to play with the objects (he usually cannot remember), and activate his upper arm muscles through hands-on assistance to get him started.  Then I often leave him to begin play at his own pace, as it takes several minutes before he is ready to touch unfamiliar (or forgotten) objects.",play,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,78,"I'm not really sure how to answer any questions in this section, as my child isn't even sitting up unassisted yet or able to really communicate at all.  He's developmentally/cognitively 9 months old, and so cannot be expected to do any of this.  I do hope that one day he will be able to participate, but we have many other steps to accomplish first.",chore,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,78,"My nieces and nephew will try to interact with him by reading him stories, listening to what he's saying using his AAC device.  His female cousin is 1 year old w/ arthrogryposis, so my son will sometimes push toys to her, and babbles a bit more because of her example.",social,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,78,"My son's neurologist has asked that we not travel away from an area with a comprehensive Children's Hospital, due to his erratic hospitalizations.  Once my son is fully vaccinated from COVID, we hope to be able to travel to see his grandparents in California.",recreational ,community,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,78,"Physical therapy, feeding therapy, and occupational therapy, as my child cannot yet participate in these routines due to his undiagnosed disease.",basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,78,"Physical therapy, feeding therapy, and occupational therapy, as my child cannot yet participate in these routines due to his undiagnosed disease.",chore,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,78,We're waiting for my son to be eligible for COVID vaccination so that he can participate safely in activities.,classes and groups,community ,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,78,We're waiting for my son to be eligible for COVID vaccination so that he can participate safely in activities.,community,community,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,88,Helping him press the right buttons,chore,home,3,,,,,,,,,,,,,,,,,,,,
PROSPECT,88,I let my son close the dish washer and press the buttons.,chore,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,88,Letting him help me close the dishwasher ,chore,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,88,Looking at books together ,play,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,88,Making a game out of putting cloths on,basic care routine,home,2,,,,,,,,,,,,,,,,,,,,
PROSPECT,88,Playing with cars together and making car noises ,play,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,88,Taking terns brushing his teeth. First it's my tern then he gets a tern. I also worked at finding a toothpaste he likes the flavor of. I will also brush my teeth while he takes his tern brushing his.,basic care routine,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,88,Talking to him about the action that we are doing. Trying to make it fun or seem like a game,basic care routine,home,2,,,,,,,,,,,,,,,,,,,,
PROSPECT,92,I praise her for building blocks very high or succeeding at completing a puzzle correctly. ,play,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,92,Introducing her to new faces and age groups.,social,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,92,Making it fun for her. I purchased a mini vacuum that she uses when I vacuum. She really enjoys it. And likes that she is helping. I also allow her to throw clothes into the washer and dryer. ,chore,home,2,,,,,,,,,,,,,,,,,,,,
PROSPECT,92,Making sure the environment is comfortable. She is new to having house guest stay over or vice versa. ,social,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,92,"N/A [name] usually participates well with routine appointments. We haven't went to a hair dresser, so its only been doctor appointments. ",neighborhood outings,community ,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,92,We haven't been to any community events. ,community,community,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,96,"choosing where to sit to brush teeth, getting themselves into the bath",basic care routine,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,96,"picking their clothes, putting away clothes, talking about diaper changes, etc. ",basic care routine,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,96,"prep for the doctor and barber, take twins on nearly every errand (usually in the stroller), restaurants are difficult because twins don't like new food and want to run around",neighborhood outings,community ,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,96,"teaching to help pick up toys, learning about cleaning",chore,home,3,,,,,,,,,,,,,,,,,,,,
PROSPECT,96,"using their own fork, holding their own milk",basic care routine,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,98,I ask my son if I can change his diaper in hopes of giving him autonomy over his body  and to let him be an active participant in his care. ,basic care routine,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,98,"I let him set his own pace and make decisions on who he wants to interact with. I make a point to let him know he has some control in his life, ",social,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,98,I let my son decide how and when he would like to eat. He has an NG tube and is learning ot eat. I let him set the pace and decide to bring the spoon to his mouth. He likes the independence ,basic care routine,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,98,"My son loves music so anytime I want him to play more or develop interest in a task, I will set it to music. ",play,home,2,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,"At meal time with jars of baby food, I usually have to distract him to finish his meals. He also won't feed himself.",basic care routine,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,Have him watch me do my daily duties and talk and tell him what I'm doing while I'm doing it.,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,Have his older sister play and show him things.,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,I try to get him to eat better by singing and talking a lot while feeding him.,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,educational activity,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,educational activity,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,educational activity,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-016,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-018,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,Giving her more time. Showing her how to do it then letting her try. Stepping back from taking over.,home,home,1,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,I have started to leave her clothes half on so she can finish taking them off and do the same for putting them on. And helping her along the way where she gets stuck.,home,home,1,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,Include her in daily routine by asking her to participate.,home,home,1,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,Introducing her to new flavours. Asking her to mirror my actions.,home,home,1,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,"Take her to the children's centre to see Speech therapist, physiotherapist and occupational therapist.",home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-021,Take her to the park outside where we live to play on the playground and have her go up & down the stairs. Walk to Grandmas,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,"I have been doing most of those routines for him (i.e. put his clothes on, brush his teeth, etc). My next step/strategy is to teach him how to do them on his own or help me do it together.",home,home,3,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-024,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,Ask therapists for activities that will stimulate and teach [name] brain.,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,daycare/preschool,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,daycare/preschool,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,daycare/preschool,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,educational activity,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,educational activity,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,educational activity,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,Try to hold the same routine.,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-027,Work together to reach new goals each week.,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,Bring [name] to a public event focused around children/families,educational activity,daycare/preschool,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,"continue to explain the process of what I'm doing, while I'm doing it.",home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,Dedicate specific time to the arts (ex. 1 hr a day),home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,"Have a safe area dedicated to her play (with mat, age appropriate toys, open)",home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,Incorporate reading into bedtime routine.,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,"Introduce her to new mediums (finger paint, chalk, etc.)",home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,"Introduce new toys/activities, specific for her age",home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,"Let her try new foods, drinks, + meet new people.",home,home,1,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,Make a game - create a song- turn the chore into something she wants to do.,home,home,2,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,none,daycare/preschool,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,none,daycare/preschool,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,Take [name] to a drop in youth centre,educational activity,daycare/preschool,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,Take [name] to a mother/daughter yoga class,educational activity,daycare/preschool,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,"When capable, ask her if she would like to try participating in different aspects of the activity",home,home,2,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-028,Will learn when attending pre-school/ daycare,daycare/preschool,daycare/preschool,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,*House guests are difficult in our home. We foster medically fragile children so this doesn't happen a lot.,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,none,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,Our adult-child ratio is typically 1:2 or at times 1:1. Typically well supported through events/activities,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,Positive encouragement,home,home,1,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,Role modelling,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,We attempt to get her to help gather supplies,home,home,1,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-029,We offer choices in foods/ snacks- encourage her to choose from options,home,home,2,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,Ensuring he is sitting upright and supported so he can participate and be part of the action,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,Hand over hand ipad use,play,home,3,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,Hand over hand participation,home,home,3,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,Hand over hand tooth brushing,basic care routine,home,3,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,None,basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,None,chore,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,None,chore,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,None,chore,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,None,play,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,None,play,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,None,social,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,None,social,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,None,social,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,None,home,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-030,Rocking him while singing a song and then putting him down awake (currently can't self soothe,basic care routine,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,Child limited by not walking. PT involved,educational activity,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,Have tried making activities like teeth brushing more fun for my child (e.g. letting the water run so we can splash),basic care routine,home,2,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,Model social langguage and how to play,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,My child doesn’t walk which hinders participation with peers. PT is involved,social,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,My child is attending daycare to help with interactions,social,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,daycare/preschool,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,daycare/preschool,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,educational activity,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,educational activity,daycare/preschool,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,chore,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,chore,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,play,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,play,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,play,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,None,social,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,"Small home daycare, my child receives lots of attention",daycare/preschool,daycare/preschool,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,This is age appropriate for my child,chore,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,"Use external motivation (e.g. crackers, hot wheels) to encourage increased gross motor skills",home,home,2,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-031,We sit on the floor to play with our child,home,home,0,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-037,none,basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-037,none,basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-037,none,basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-037,none,chore,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-037,none,chore,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-037,none,chore,home,4,,,,,,,,,,,,,,,,,,,,
WC Baseline ,01-037,none,play,home,4,,,,,,,,,,,,,,,,,,,,
