,Unnamed: 0.1,Unnamed: 0,ID,label,strategy,augmented_strategy,H_yx,predicted_label_null_x,correct_yx,H_yb,predicted_label_null_y,correct_yb,PVI
315,315,315,840,1,"As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try.  Sometimes he just kisses or licks the new food item.  Other times we can get him to take a bite of the new food item.  He earns extra electronic time if he tries new foods.","As for mealtimes, we have some of his favourites but we also try to put something new on his plate to try. Sometimes he just kisses or licks the new food item. Other times we can get him to take a bite of the new food item. He earns extra electronic time if he tries new foods.",1.784185459,1,True,2.396652674106508,0,False,0.612467215106508
316,316,316,840,1,"As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try.  Sometimes he just kisses or licks the new food item.  Other times we can get him to take a bite of the new food item.  He earns extra electronic time if he tries new foods.","In fact, as for mealtimes, we have some of her favourites but also we try to put something new on his plate to try. Sometimes he just kisses or licks the new food item. Other times we can get him to take a bite of the new food item. He earns extra electronic time if he tries new foods.",1.936850506,1,True,2.396652674106508,0,False,0.4598021681065078
317,317,317,840,1,"As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try.  Sometimes he just kisses or licks the new food item.  Other times we can get him to take a bite of the new food item.  He earns extra electronic time if he tries new foods.","As for mealtimes, we had some of his favourites but also we try to put something new on his plate to try. Sometimes he just kisses or licks the new food item. But other times we can get him to take a bite of the new food item. He earns electronic time if he tries new foods.",1.889271065,4,False,2.396652674106508,0,False,0.507381609106508
318,318,318,840,1,"As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try.  Sometimes he just kisses or licks the new food item.  Other times we can get him to take a bite of the new food item.  He earns extra electronic time if he tries new foods.","As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try. Sometimes he just licks or licks the new food item. Other times we can get him to take a bite of the new food item. We use rewards if he tries new foods.",1.620853424,1,True,2.396652674106508,0,False,0.7757992501065079
319,319,319,840,1,"As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try.  Sometimes he just kisses or licks the new food item.  Other times we can get him to take a bite of the new food item.  He earns extra electronic time if he tries new foods.","As for mealtimes, we have some of his favourites, but also we try to put something new on his plate to try. Sometimes he just kisses or licks the new food item. Other times we can get him to take a bite of the new food item. He earns extra electronic time if he tries new foods.",1.774098,1,True,2.396652674106508,0,False,0.622554674106508
320,320,320,840,1,"As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try.  Sometimes he just kisses or licks the new food item.  Other times we can get him to take a bite of the new food item.  He earns extra electronic time if he tries new foods.","As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try. Sometimes he just kisses or licks the new food item. Other times we can get him to take a bite of the new food item. He earns extra electronic time if he tries new foods.",1.814871256,1,True,2.396652674106508,0,False,0.581781418106508
321,321,321,840,1,"As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try.  Sometimes he just kisses or licks the new food item.  Other times we can get him to take a bite of the new food item.  He earns extra electronic time if he tries new foods.",He'd like to try some of my favourite foods and make new friends. We try to make this a regular part of his day. We try different foods for him to introduce or just allow him to explore.,1.808079624,2,False,2.396652674106508,0,False,0.5885730501065078
322,322,322,840,1,"As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try.  Sometimes he just kisses or licks the new food item.  Other times we can get him to take a bite of the new food item.  He earns extra electronic time if he tries new foods.","As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try. If he just kisses or licks the food item, it's okay. But if he takes a bite and tries it, it's good for him. He earns extra electronic time if he tries new foods.",1.983356273,1,True,2.396652674106508,0,False,0.4132964011065079
324,324,324,840,4,We have not enrolled our son in any organized groups but perhaps once he starts school he will show some interest.,We will enrol our son in any organized groups to which we feel he will be interested.,1.282298478,4,True,2.1962278431239506,0,False,0.9139293651239506
325,325,325,840,4,We have not enrolled our son in any organized groups but perhaps once he starts school he will show some interest.,"We have not enrolled our son in any organized group, but perhaps once he starts school he will show some interest.",0.677760444,4,True,2.1962278431239506,0,False,1.5184673991239506
326,326,326,840,4,We have not enrolled our son in any organized groups but perhaps once he starts school he will show some interest.,We have not enrolled our son in any organized group but perhaps once he starts school he will show some interest.,0.675721923,4,True,2.1962278431239506,0,False,1.5205059201239506
327,327,327,840,4,We have not enrolled our son in any organized groups but perhaps once he starts school he will show some interest.,"We have not enrolled our son in any formed groups, but perhaps once he starts school he will show some concern.",0.682575241,4,True,2.1962278431239506,0,False,1.5136526021239507
347,347,347,840,0,He loves the water and the beach.  Bringing lots of sand toys to build and dig.,He loves the water and the beach. Bring lots of sand toys to build and dig.,1.406166903,0,True,1.7142213381829274,0,True,0.3080544351829275
357,357,357,840,0,Parties and guests I like to have over during the day so that it is not close to bed time.,Parties and guests I like to invite over during the day so that it is not close to bed time.,1.355814742,0,True,1.7142213381829274,0,True,0.3584065961829275
358,358,358,840,0,Parties and guests I like to have over during the day so that it is not close to bed time.,Parties and guests I like to have over in the day so that it is not close to bed time.,1.25180971,0,True,1.7142213381829274,0,True,0.4624116281829273
372,372,372,840,4,We have not tried any organized sports yet but would like to try in the future.,We have not tried any organized sports.,0.916926676,4,True,2.1962278431239506,0,False,1.2793011671239505
374,374,374,840,4,We have not tried any organized sports yet but would like to try in the future.,We are currently not taking part in any organized sports but we would like to do it in the future,0.733037074,4,True,2.1962278431239506,0,False,1.4631907691239507
375,375,375,840,4,We have not tried any organized sports yet but would like to try in the future.,We have not tried organized sports yet but would like to try in the future.,0.802594908,4,True,2.1962278431239506,0,False,1.3936329351239505
376,376,376,840,4,We have not tried any organized sports yet but would like to try in the future.,We've not tried any organized sports but are willing to try in the future.,0.833590629,4,True,2.1962278431239506,0,False,1.3626372141239504
377,377,377,840,4,We have not tried any organized sports yet but would like to try in the future.,We have not done organized sports yet but would like to try in the future.,0.808101455,4,True,2.1962278431239506,0,False,1.3881263881239505
387,387,387,840,2,We add food colouring to water to make it fun and more stimulating.  ,We add colour to water and make it more fun and stimulating.,1.807192193,2,True,2.7784193685741783,0,False,0.9712271755741784
388,388,388,840,2,We add food colouring to water to make it fun and more stimulating.  ,We add food coloring to water to make it fun and stimulating.,2.456679964,1,False,2.7784193685741783,0,False,0.3217394045741781
389,389,389,840,2,We add food colouring to water to make it fun and more stimulating.  ,We add food colouring to water to make it fun and more stimulating.,2.164576764,1,False,2.7784193685741783,0,False,0.6138426045741783
390,390,390,840,2,We add food colouring to water to make it fun and more stimulating.  ,We add food colouring to liquid to make it fun and more stimulating.,2.053482309,1,False,2.7784193685741783,0,False,0.7249370595741782
392,392,392,840,2,We add food colouring to water to make it fun and more stimulating.  ,We add food colouring to water to make it fun and stimulating.,2.219303854,1,False,2.7784193685741783,0,False,0.5591155145741782
413,413,413,01-103,3,Development (fine + gross motor),Activities for development (fine and gross motor),2.157952222,0,False,2.8224563689442603,0,False,0.6645041469442603
415,415,415,01-103,3,Development (fine + gross motor),Development (fine motor),1.4831684,3,True,2.8224563689442603,0,False,1.3392879689442605
416,416,416,01-103,3,Development (fine + gross motor),Development (fine motor),1.4831684,3,True,2.1962278431239506,0,False,0.7130594431239505
417,417,417,01-103,3,Development (fine + gross motor),Activities: Develop (fine and gross motor),1.925711351,0,False,2.8224563689442603,0,False,0.8967450179442604
418,418,418,01-103,3,Development (fine + gross motor),Activities: Develop (fine and gross motor),1.925711351,0,False,2.1962278431239506,0,False,0.2705164921239507
423,423,423,01-103,3,Development (fine + gross motor),In the daycare/preschool setting: Development (fine and gross motor).,1.577233402,3,True,2.8224563689442603,0,False,1.2452229669442605
424,424,424,01-103,3,Development (fine + gross motor),In the daycare/preschool setting: Development (fine and gross motor).,1.577233402,3,True,2.1962278431239506,0,False,0.6189944411239505
425,425,425,01-103,3,Development (fine + gross motor),Skills to develop in daycare/preschool setting in context of development (fine + gross motor),1.78805825,3,True,2.8224563689442603,0,False,1.0343981189442604
426,426,426,01-103,3,Development (fine + gross motor),Skills to develop in daycare/preschool setting in context of development (fine + gross motor),1.78805825,3,True,2.1962278431239506,0,False,0.4081695931239506
427,427,427,01-103,3,Development (fine + gross motor),"Playing, playing, playing Ã¢â‚¬â€œ all sorts of fun, challenging and interesting activities are good for the development of both fine and gross motor skills.",2.17966841,3,True,2.8224563689442603,0,False,0.6427879589442602
429,429,429,01-103,3,Development (fine + gross motor),In the daycare/preschool setting: Development (fine + gross motor),1.630327313,3,True,2.8224563689442603,0,False,1.1921290559442603
430,430,430,01-103,3,Development (fine + gross motor),In the daycare/preschool setting: Development (fine + gross motor),1.630327313,3,True,2.1962278431239506,0,False,0.5659005301239506
433,433,433,01-103,4,Development (fine + gross motor),"Development: development means a physical, mental or biological event.",2.191244542,3,False,2.8224563689442603,0,False,0.6312118269442601
437,437,437,01-103,4,Development (fine + gross motor),Development of fine and gross motor,2.06718467,0,False,2.8224563689442603,0,False,0.7552716989442603
439,439,439,01-103,4,Development (fine + gross motor),Fine motor (finger-singly / finger-finger-clapping) development,2.127809011,0,False,2.8224563689442603,0,False,0.6946473579442602
443,443,443,01-103,4,Development (fine + gross motor),For children at daycare/preschool development (fine + gross motor),2.556853334,0,False,2.8224563689442603,0,False,0.2656030349442604
475,475,475,01-103,4,speech,Speech,1.37429138,4,True,2.1962278431239506,0,False,0.8219364631239505
476,476,476,01-103,4,speech,Speech,1.37429138,4,True,2.1962278431239506,0,False,0.8219364631239505
477,477,477,01-103,4,speech,"By playing the game, you and children are learning how to manage time and use your senses, while you are learning to control the situation.",1.679906406,4,True,2.1962278431239506,0,False,0.5163214371239506
478,478,478,01-103,4,speech,"By playing the game, you and children are learning how to manage time and use your senses, while you are learning to control the situation.",1.679906406,4,True,2.1962278431239506,0,False,0.5163214371239506
489,489,489,01-103,4,speech,"In order to get your friends to do racial slurs, you should make sure that you use the language at the appropriate places and in the correct form.",1.924676241,1,False,2.1962278431239506,0,False,0.2715516021239506
490,490,490,01-103,4,speech,"In order to get your friends to do racial slurs, you should make sure that you use the language at the appropriate places and in the correct form.",1.924676241,1,False,2.1962278431239506,0,False,0.2715516021239506
491,491,491,01-103,4,speech,Some people want to make a speech to celebrate Christmas.,1.866278136,4,True,2.1962278431239506,0,False,0.3299497071239505
492,492,492,01-103,4,speech,Some people want to make a speech to celebrate Christmas.,1.866278136,4,True,2.1962278431239506,0,False,0.3299497071239505
493,493,493,01-103,4,speech,strategy speech,1.680592206,4,True,2.1962278431239506,0,False,0.5156356371239506
494,494,494,01-103,4,speech,strategy speech,1.680592206,4,True,2.1962278431239506,0,False,0.5156356371239506
495,495,495,01-103,4,speech,"To help children learn to use sentences in their speech, you should practice speaking a lot.",1.942869095,1,False,2.1962278431239506,0,False,0.2533587481239505
496,496,496,01-103,4,speech,"To help children learn to use sentences in their speech, you should practice speaking a lot.",1.942869095,1,False,2.1962278431239506,0,False,0.2533587481239505
501,501,501,01-103,4,speech,This is an example of non-strategic strategy in context of daycare/preschool in daycare/preschool setting: speech,1.894722878,4,True,2.1962278431239506,0,False,0.3015049651239505
502,502,502,01-103,4,speech,This is an example of non-strategic strategy in context of daycare/preschool in daycare/preschool setting: speech,1.894722878,4,True,2.1962278431239506,0,False,0.3015049651239505
503,503,503,01-103,4,speech,"In the daycare setting, you have a speech therapist.",1.659152113,4,True,2.1962278431239506,0,False,0.5370757301239506
504,504,504,01-103,4,speech,"In the daycare setting, you have a speech therapist.",1.659152113,4,True,2.1962278431239506,0,False,0.5370757301239506
515,515,515,01-103,0,Socialization,Socialization strategy in daycare/preschool,1.382742851,0,True,1.7142213381829274,0,True,0.3314784871829275
516,516,516,01-103,0,Socialization,Socialization strategy in daycare/preschool,1.382742851,0,True,1.7142213381829274,0,True,0.3314784871829275
519,519,519,01-103,0,Socialization,Socialization at school,1.524073158,0,True,1.7142213381829274,0,True,0.1901481801829274
520,520,520,01-103,0,Socialization,Socialization at school,1.524073158,0,True,1.7142213381829274,0,True,0.1901481801829274
523,523,523,01-103,0,Socialization,Socialization in daycare/preschool context,1.411721589,0,True,1.7142213381829274,0,True,0.3024997491829273
524,524,524,01-103,0,Socialization,Socialization in daycare/preschool context,1.411721589,0,True,1.7142213381829274,0,True,0.3024997491829273
549,549,549,01-103,3,"Gross motor--> trampoline, climbing wall, bikes, playing with siblings","Gross motor--> Trampoline, climbing wall, bikes, playing with siblings",1.653491948,3,True,2.8224563689442603,0,False,1.1689644209442602
550,550,550,01-103,3,"Gross motor--> trampoline, climbing wall, bikes, playing with siblings","Gross motor--> Trampoline, climbing wall, bikes, playing with siblings",1.653491948,3,True,2.8224563689442603,0,False,1.1689644209442602
551,551,551,01-103,3,"Gross motor--> trampoline, climbing wall, bikes, playing with siblings","Gross motor Ã¢â‚¬â€œ trampoline, climbing wall, bikes, playing with siblings",2.067077466,0,False,2.8224563689442603,0,False,0.7553789029442601
552,552,552,01-103,3,"Gross motor--> trampoline, climbing wall, bikes, playing with siblings","Gross motor Ã¢â‚¬â€œ trampoline, climbing wall, bikes, playing with siblings",2.067077466,0,False,2.8224563689442603,0,False,0.7553789029442601
