strategy,Label,trainingset
ask,4,1
just ask,4,1
just ask,4,1
na,4,1
getting down on her level,0,0
playing with toys she is interested in,2,0
rolemodeling play,0,0
get out craft supplies and arrange them in her play space then start doing the craft myself she can choose to watch and copy what im doing or find her own way to use the supplies,0,1
i model a play activity and ask her to follow the leader if she doesnt catch on right away,0,1
let her choose the game bring around the rosie putting on a show hide and seek etc,2,1
she drops food/drinks on the floor when shes done eating sometimes  weve tried to catch her prior to the dumping and offer her an appropriate place to place her unwanted stuff instead of dumping it on the floor,0,1
weve tried giving her smaller portions at a time as well as arranging her food and place setting in different ways to help her feel less overwhelmed or overstimulated during meal times     weve encouraged her to talk about her food  what she likes and doesnt like  and to ask for what she wants when she starts looking frustrated instead of waiting for her to drop stuff on the floor     weve become more mindful of how long meals last and have tried to limit the time that we ask her to sit at the table,0,1
weve tried making a game of putting toys away make it a race sort the toys into baskets by type or color pretend that the toys are playing hide and seek in their baskets putting the toys to bed etc,2,1
weve tried to add [number] minutes of tidyup time into our evening routine,0,1
weve tried to have one parent teach and help the kids to set the table and get drinks for everyone before meals    weve tried to establish the routine of everyone taking their dishes utensils and cups to the sink after each meal and snack,3,1
when she drops food/drinks on the floor weve given her the supplies encouragement and assistance to clean up the mess herself,0,1
haircuts,4,1
we encourage him to play say hello give hugs,1,1
we play matching games and help him understand taking turns,2,1
continued exposure to class settings to expand interest and comfort level in class settings,0,0
ensure that he feels safe and secure at these events so he knows we are there for him but trying to encourage him to engage and interact more independently in these settings,1,0
[name] doesnt interact with many kids is only interacting with adults,4,0
help taking care of his sisters feedings,1,0
i have given him if and then,2,0
i have tried timers,0,0
i try to make errands as quick as possible,0,0
i will start activities and leave to see if he will stay and keep playing,0,0
just getting him to participate in speech,4,0
put him in his high chair and try to get him to participate in baking,0,0
constantly search for affordable classesand activities,0,1
enrolled him in gymboree.,0,1
tried to involve him in activities like story time and gymboree. read to him daily many opportunities to play with parents sibling and neighbors,0,1
ask [name] to help me with the task,1,1
distraction i.e. during diaper change,0,1
plan travel during nap times limit time traveling in car,0,1
redirect her to different types of play,0,1
reward system,2,1
talking about outing before going  prepping her ahead of time,0,1
involve her an teach her,1,1
involve her an teach her,1,1
involve her an teach her,1,1
fortunately we live in a very large neighborhood that has an abundance of resources events and support for families the neighborhood is majority families with young childre,0,1
he will help hold the food container and help feed our pets with us mornings and evenings he gets to pick out the dog chews for the dog  removing the container from the cabinet selecting two chews per mealtime then giving them to the dog he has come to understand his role in helping feed the pets an,1,1
i have him carry a few pieces of laundry and place them into the washing machine hell help press the buttons then we watch the laundry start to make the sounds and movements that he finds entertaining he has this same role every time and now understands how to do it without prompting,1,1
a few days a week i take my son to the library andlor park to meet and socialize with other kids i help him take turns with other children on the play equipment,0,1
after eating i hold a mirror up in front of my son and point out where he is messy i also give him wet wipes and point to the area on my face that he needs to wipe on his own face,0,1
every week my son has a play date with kids his age he knows the other children in the group very well and has been seeing them weekly for about a years,0,1
i explain things slowly and point to what my son needs to get in order to participate a musical instrument to play a scarf to dance with a book to rea,0,1
i point out things of interest to my son like balloon animals or characters he might recognize,2,1
when attending a class i often take my sons hand to help guide him during an activity,3,1
when getting dressed i name the clothes and body parts and encourage my son to help as much as possible i often pull his shirt over his head but he pushes his arms through the sleeves i also encourage him to push his feet into his socks which i hold open for him and to put on his shoes and use the velcro strap,3,1
when getting ready to take a nap i ask my son to take off his shoes which he does then he gets his favorite blanket and pacifier and crawls under the covers,1,1
when my son finishes eating a snack i have him take the wrapper and throw it away in the trash,1,1
when my son has finished playing with certain toys and has moved onto the next activity i have him help put everything away sometimes he does it willingly and other times he doesnt however i always ensure that he puts the last item away,1,1
when sleeping in a new place i follow the same routines we use at home,0,1
whenever there is music playing i start to dance and encourage him to join in,0,1
exposure to more activities,1,1
follow her lead,1,1
letting her hold the brush toothbrush etc,1,1
none,4,1
offer a wide variety of activities,2,1
practicing on a baby doll,3,1
my daughter is a baby and too young to participate in household chores,4,1
my daughter is a baby and too young to participate in household chores,4,1
my daughter is a baby and too young to participate in household chores,4,1
activities he enjoys,2,1
follow his schedule,1,1
fun time,2,1
fun time,2,1
have toys for him,0,1
having kids over,0,1
he is interested,4,1
he likes costco,4,1
he likes to help out stuff in the shopping cart,2,1
make it fun,2,1
make noises,0,1
make sure he is not tired and he is not hungry,0,1
new games,0,1
new toys,0,1
not tired not hungry,0,1
not tired not hungry,0,1
playing bottoms,4,1
praise,1,1
singing,0,1
things he is interested,2,1
alternating between favorite activities rolling cars and more varied functional play,2,1
bring books for him to church to look at during mass wish we had a way of better teaching him time to be quiet,0,1
cleaning up with the whole family at about the same time each day,0,1
hand over hand brushing of teeth and washing of hands,3,1
having him stand up while getting dressed so that he has to lift his feet etc and doesnt have the option to just lay still,2,1
involving his older sister as a sort of buddy when there are friends over,0,1
letting him walk in the grocery store and handing him the things to put on the conveyor belt,1,1
making sure that he has eaten enough before friends arrive so that he doesnt just hide out by the food,0,1
snack is had a childsized table he gets his own bowl and i fill it before he takes it over,0,1
we havent done anything but a once a week parents day out program with him and an occasional story time  this clearly needs to be a bigger part of ou,0,1
annual pass to the childrens museum,0,1
attend storyline at the library occasionally,0,1
have him brush his teeth alongside big brother,0,1
he loads the washing machine for me,1,1
he washes dishes i load them in dishwasher,1,1
involve him in cooking helping me make a salad etc,1,1
asking [name] to help move the wet clothes into the dryer and taking the dry clothes to the bedroom,1,1
giving them a choice of what to do first,2,1
lead by example or model pretend play,0,1
go with friends and neighbors,0,1
make it fun,2,1
model behavior and activity to help her learn,0,1
pick events that are interesting to her,2,1
planned well to keep her entertained and happy while in travel,0,1
positive reinforcements but letting her interact in her own natural way,1,1
taking her when shes well fed and well rested,1,1
went somewhere that was good for her,0,1
went somewhere that was good for the family,0,1
bring items that soothe her blankie pacifiers,0,1
bring items that soothe her blankie pacifiers,0,1
bring items that soothe her blankie pacifiers,0,1
choose activities where we know we will have space that arent too crowded,0,1
choose activities where we know we will have space that arent too crowded,0,1
choose activities where we know we will have space that arent too crowded,0,1
choose classes that fit with her established daily routine,0,1
choose classes that fit with her established daily routine,0,1
choose classes that fit with her established daily routine,0,1
focus on chores that she enjoys and focus solely on those chores,2,1
focus on chores that she enjoys and focus solely on those chores,2,1
focus on chores that she enjoys and focus solely on those chores,2,1
repetitive routines incorporate fun such as songs and games,0,1
repetitive routines incorporate fun such as songs and games,0,1
repetitive routines incorporate fun such as songs and games,0,1
rotate toys so that she isnt playing with the same activities every day,0,1
rotate toys so that she isnt playing with the same activities every day,0,1
rotate toys so that she isnt playing with the same activities every day,0,1
he always carries his plate or bowl of food from the kitchen to his seat  he likes doing this,1,0
he likes to help put items in the dishwasher when we ask hell do it  we just forget to have him do it,1,0
we make it a routine for him to pick up his toys and he likes doing it,0,0
being consistent  reminding him that it is time to use the toilet/change his diaper,0,0
model the behavior we want to see,2,0
offering to help his body,3,0
talking through,0,0
as above,4,1
as above,4,1
as above,4,1
as above,4,1
as above,4,1
as above,4,1
as above,4,1
as above,4,1
let im hold the vaccum as im am doing the floors  also help put laundry into the washer or into the dryer,1,1
play with sibling taking turns on the train track  sitting with sibling to color pictures,0,1
try to get him to play with other children,2,1
try to involve him in activities at gatherings,4,1
can see why he want to run all the time,4,1
cant stop him,4,1
he can do good as he is with the help at daycare an it has made a difference,0,2
he can stop an slowdown an just walk he only wants to run,4,1
he dont see or care that things are in the way to not run around an fall so he has been working on slowing down an it has helped but still want to be fast at it all,3,2
he gets by but can learn more with,4,1
he trys sometimes,1,2
he wants to do everything fast an falls for not taking his time ti get things done right,4,1
he will get by with help,3,2
help him do his best,3,2
help is the best thing for him,3,1
help is the best thing for him,3,1
i cant do it my self cuz he dont understand me,4,1
i have been showing him how to do things slower to get it done right,0,2
i try,4,1
it would help if he just stop running for everything,4,1
its hard on me,4,1
not looking around him self to see where not to go an fall down,4,1
need the help for him an ways around it,4,1
on my own i walk with him an show him how slow walking is,0,1
only can do so much,4,1
they help out an show him ways around to be careful an safe for him,0,1
things do get by but he can slow down,4,1
trying everthing,4,1
bring her to the park and try swing,0,0
child sized table and chair used at mealtime,0,0
she pushes buttons in dishwasher,1,0
i havent,4,1
i havent,4,1
i havent,4,1
feeding therapy,4,1
frequent interaction,0,1
have games readily available,0,1
implementing a routine,0,1
hes only [number] so i dont expect him to help with these things,4,1
helping him learn how to feed himself having a routine will hopefully show him how to help get him dressed etc,3,1
we do excerciseplace her stuff where she can see it.point it to hereand she follow where it island ask her to immitate me as i dolike as i brush my teethshe follow me as i do,0,0
i have gone early to get him used to the space he still often wants to breastfeed through large portions of a class/gathering,0,0
he is still a little too young for some of the activities listed when we go to birthday parties etc i encourage [name] to sit and play with the other children there,1,1
i intend to put [name] in the nursery/day care at church once cold and flu season is done,4,1
i will comb [name] hair then hand him the comb to comb his own hair,0,1
i will wipe down his highchair after he eats then give him the wash cloth to wipe down the highchair himself,1,1
i wipe his mouth then give him the washcloth to wipe his own mouth,1,1
my son is too young for a lot of the activities listed when we are in groups at a restaurant i try to keep him interested in the friends/family members,2,1
once we are done playing for the night i encourage [name] to help me put his toys in his toy box,1,1
we have a few little puzzles that i help [name] put the pieces together,3,1
when music starts to play on a movie we are watching i encourage [name] to dance,1,1
when we have in home therapy i try to keep [name] encouraged and happy so he doesnt get cranky with [name],1,1
our daughter is not yet i so her level of participation is appropriate we continuously encourage her to clean up her toys by singing songs and not allowing her to move on to the next toy,1,1
we encourage our daughter to communicate with others by trying to make her feel comfortable in the situation,1,1
we try to continuously encourage our daughter to interact more in community events,1,1
we try to encourage our daughter to interact with others,1,1
we try to encourage our daughter to pay attention and participate in the activities as designed,1,1
calming is usually needed so i talk through what i am going to do die im about to pull this shirt over your head  its going to be so quick and it will help us get ready to leave the houses,0,1
he is so young so i typically just ask him to help clean up toys before we move on to the next activity,1,1
he typically needs calming when we travel due to the new environment,1,1
singing to him,0,1
we are working on fine and gross motor skills body tone and vision as building blocks to eventually be able to participate in activities of daily livin,3,1
we are working on fine and gross motor skills body tone and vision as building blocks to eventually be able to participate in activities of daily living,3,1
we are working on fine and gross motor skills body tone and vision as building blocks to eventually be able to participate in activities of daily living,3,1
we are working on fine and gross motor skills body tone and vision as building blocks to eventually be able to participate in activities of daily living,3,1
we are working on fine and gross motor skills body tone and vision as building blocks to eventually be able to participate in activities of daily living,3,1
we are working on fine and gross motor skills body tone and vision as building blocks to eventually be able to participate in activities of daily living,3,1
we are working on fine and gross motor skills body tone and vision as building blocks to eventually be able to participate in activities of daily living,3,1
we are working on fine and gross motor skills body tone and vision as building blocks to eventually be able to participate in activities of daily living,3,1
add new materials to make old activities novel,0,1
allow for him to get comfortable,1,1
following his lead if he is not interested we try again another day,1,1
lots of guidance and support,0,1
point out things he likes about activity,2,1
try to be very excited about the activity,0,1
have him watch me and then ask him to try,0,1
interaction,4,1
interaction,4,1
interaction,4,1
repetition,3,1
repetition,3,1
same,4,1
through watching us and asking him to help us,0,1
we let him try,1,1
brushing her own teeth then i help her at the end however helping her in the end becomes a battle,1,1
[name] loves watching the we try to limit,0,1
getting our coat on getting her stuff together,0,1
helps feed the dog,1,1
picking up dirty laundry off the floor or throwing her diaper in the trash,1,1
picking up her toys she is good at putting them in the box,1,1
she loves to read books and pick up books and bring them to you one by one,2,1
she puts her pajamas away or in the dirty laundry,1,1
to bring her books or hair supplies,0,1
we do a lot of coloring drawing and arts and crafts she likes to use markers and paint,2,1
we go for walks when warm to the park,0,1
we go out to eat in the neighborhood one in a while,0,1
during warm weather we typically go to the play ground  which is great with other kids... it can be tricky in winter months,0,1
in the winter we typically go to the mall on friday nights  it is great because the wide space is good with her walker... they also have an indoor play,0,1
[name] sometimes gets stuck on screens when this happens we try to emulate whatever screen activity she is involved with outside of the screen for example if she is looking at a photo stream we will engage with some of our family albums if she is   playing with a music app we will turn on the radio and have a dance party,0,1
lots of playground time,0,1
we are constantly reading books at least a dozen per day,0,1
we are currently looking for programs with physical activity that will work with kids that have mobility challenges,0,1
we are working to enroll [name] in a school program so she can have more contact with her peers,0,1
we have secured memberships to cultural facilities  museums botanic guardians etc to give her more exposure to other kids and community,0,1
we have worked to establish a routine so she understands the context of chores,0,1
we have worked to include her so she has an opportunity to participate,1,1
we love to travel when we travel [name] always enjoys new adventures,2,1
we often color or play with stickers we also do a lot of imaginary play  tea parties with stuffed animals and such,0,1
we talk about the chores as we do them,0,1
we try to see our family and her cousins as often as possible  generally once per week,0,1
he currently attends weekly music class swim lessons and story time at the local library and book store we fully engage with the teachers and curricula,0,1
since he is only [number] years old i havent tried to incorporate this yet,4,1
songs and videos about brushing his teeth since he hates it,0,1
talking through and showing him how to wah his hands and face,0,1
toys and bubbles in the bathtub,0,1
we have been to a few festivais over christmas inciuding zoo iights at the zoo parade of iights meeting santa etc i have aiso taken him to a few kids concerts at the i,0,1
big brother is a very good help she does everything that he does,3,1
i try to show her by doing it myself and big brother also,0,1
she is not used to people coming over he gets shy and starts crying but we are trying to give her toys so she could play with whoever comes around and she gets a little bit more comfortable,0,1
she still a baby but she is learning how to throw things in the trash and in the sink,3,1
she still a baby but she is learning how to throw things in the trash and in the sink,4,1
we tried to get her more involved in basic care routines,4,1
we try to give her toys so she could get a little bit more used to having people over,0,1
does not apply my child isnt yet physically able to do organized physical activities,4,1
he also likes bringing things/handing things to you,2,1
he is always willing to clean up anything that goes into a bucket or toy box,2,1
this will come with age hes behaving ageappropriately at this time,4,1
show him the diaper when changing and say arms up when getting dressed  not much of a set routine,0,0
these questions really dont pertain to our current goals and dont seem age appropriate for my daughter were obviously working on fine motor skills and greatly look forward to her participating in getting dressed or undressed etc but all in due time,4,0
singing songs while putting away toys,0,1
too young,4,1
too young,4,1
asking her for help,1,1
bringing familiar items blankets and toys and foods from home,0,1
demonstration,0,1
demonstration,0,1
discussing what we are going to do or where we will stay,0,1
drawing clear boundaries about what is expected of her and following through,2,1
easing into the activity by starting small for short periods of time,3,1
encouraging participation in an activity that she is familiar and comfortable with,1,1
having her teddy bear try the activity first,0,1
involving her teddy bear in the activity i.e. having the teddy bear do the routine first,0,1
making it fun by singing or dancing during the activity,2,1
side by side interaction with mom,3,1
side by side play with the person staying with us,3,1
talking about what is expected of her,2,1
talking about what is expected of her during the class,2,1
talking about what we are doing,0,1
talking about what we are going to do i.e. after the water is gone from the tub we are going to get out of the bathtub and put on our pajamas,0,1
going to different environments,0,1
having her hold her own food to take bites,1,1
having her hold her own spoon,1,1
reintroducing her to  activities as her physical abilities increase and improve,0,1
she likes to play with the same things so we are working on reintroducing toys or games that are less favored by her,0,1
trying different foods with with different textures,1,1
we are adding more options for toys and games,2,1
we are going to more places with indoor activities to try new things,0,1
we are looking for activities outside of working hours,0,1
we are working on having her put toys in bins to help pick up,1,1
make it fun sing nursery rhymes help her choose her food or clothes,0,0
working on being more interactive with teeth brushing,1,1
working on scribbling/coloring,3,1
working on spoonfeeding at mealtime,3,1
working on stacking blocks,3,1
working on using open cup or cup with straw,3,1
pick out food  cook food set table sit with family,4,0
consistency of activity same thing over and over again,3,1
hes not old enough right now so his lack of participation is probably ageappropriate.,4,1
increased frequency,0,1
repetition and positive reinforcement,3,1
variation make as adultled as possible,0,1
at her young age i invite her to help when i have time to include her  she is generally helpful when asked but as she develops into a sassy toddler she is beginning to refuse when asked to help out  please put your bowl in the sink not momma you do its  we are working through that as time and attitude is in the right space,1,1
we discuss that all members in the family must contribute to the functioning of the family  we have age appropriate expectations of her just as her brother  as she gets older we will expect more  right now it is sorting laundry by color putting cups and snack bowls in sink and throwing away her own,2,1
having her watch me pick up toys and asking her to do it too,0,1
set up elmo videos about brushing her teeth,0,1
teaching her where her shoes are so she can grab them when we are about to leave,3,1
trying to get her excited about handing me laundry out of the washer/dryer,1,1
consistent interaction practice with others,3,1
consistency,0,1
just waiting on better weather condition and transportation,0,1
cocleaning. giving him a wipe to clean his spot while the rest of us clean the table,1,1
giving two choice of food this or this and let him decide what he wants,2,1
i have used a lot of bringing him along in the process talking to him about what to expect and then also showing him what comes next this has been super helpful at bed time,0,1
letting him play sweep,2,1
modeling,0,1
modeling then practicing cleaning up toys,0,1
we try to have age appropriate fiends over once in a while for the sake of parallel play moving towards interactive play...consistent opportunity to engaged,0,1
discuss the different game options to play let him select the games sit on floor and start to play until he joins,2,1
have not tried yet will be participating in the easter activities in the neighborhood,4,1
he has not attended a class or group activity we are on waiting lists to sign up for toddler classes,4,1
encourage her to interact with her cousins during parties,1,1
enrolled in gymnastics and we participate together and practice at home between classes,0,1
fun noises encouragement demonstration prompting,2,1
she will unload the groceries but will typically take them and run rather than putting them on the counter i try to instruct her but it doesnt work,3,1
take her to childrens museum as often as i can afford it so she can watch other kids and hopefully mimic their beha,0,1
tried to get her to help unload the dishwasher by instructing and demonstrating she typically takes the dishes and runs off,3,1
distraction with a short video so we can brush his teeth,0,1
free time in the apartment courtyard with friends,0,1
giving a choice for diaper changinglaying down or standing up,2,1
giving a small bag of trash while daddy carries a large bag of trash to the dumpster,1,1
helping with the baby get a diaper and positive reinforcement,1,1
keeping same sleep schedule on trips,0,1
modeling at music class,0,1
parental involvement to reduce anxiety,0,1
planning lots of activities for the plane trip and prepping him ahead of time,0,1
provide variety in choices swimming music,2,1
timing of classes,0,1
using a picture schedule each morning for getting ready to leave the house,0,1
using cleaning tools broom as a play object,0,1
using words instead of throwing/hitting,2,1
we are trying to work on reciprocity with play figures and focusing on the interaction instead of the object,3,1
make it fun play with him,2,1
bring toys he likes plan activities,2,1
getting toys that he is interested in,2,1
having [name] play with guests,2,1
he does all his group activities at his daycare,4,1
show him and he does it,0,0
tell him its healthy,2,0
doing age appropriate activities,0,1
follow routines suggested by ot,0,1
incorporating her in our activities,1,1
na,4,1
na,4,1
na,4,1
na,4,1
na,4,1
things suggested by it and normal parenting activities,4,1
brushing teeth has been a struggle he wants to control the brush the whole time we have tried taking turns but he is tired at the end of the day last thing before bed and fusses about it,1,1
he is eager to throw anything that we identify as trash in the garbage he is pretty consistent in checking with us before throwing something away which is good,1,1
he is very helpful in adjusting covers for bedtime putting the pillow in place and closing the door,1,1
he mostly practices parallel and solo play at parties though he interacts with other children at daycare and his sis,3,1
he really enjoys helping to unload the dishwasher and that has become a routine,2,1
we have taken him to the nursery during church services because i havent found a good set of distractions for him to keep him in the service,0,1
we need to work more with having him help put away toys he gets readily distracted and starts playing with them losing focus,4,1
our child sometimes likes to assist with laundry viewing it as a game,2,0
we use incentives to encourage our child to participate in routines willingly  sitting on potty brushing teeth washing hands etc,2,0
we use positive verbal reinforcement when our child participates in basic care routines upon the first request,1,0
when in classes we are attending we try to lead by example and participate enthusiastically to encourage him to participate as well,0,0
i organize play dates with other moms a couple times a week  otherwise we have stayed away from public play groups during the flu season,0,1
she is too young at this point,4,1
showing her how to color and she will mimic,0,1
showing her how to stack cups and she will mimic,0,1
watching baby signing time  we will do the signs together,0,1
i have tried to show her how to put her head through the head/neck hole in her shirt she can put intake off all other clothing except her shirt,0,1
i have tried to use a mirror to help her look at her face for wiping after meals,0,1
i help by participating with her until she is comfortable,0,1
i leave a variety of toys within her reach,0,1
i put on music she likes to encourage her to dance with me,2,1
i put out costumes and allow her to choose to wear one if she wants,2,1
i tell her ahead of time what is going to happen,0,1
ive shown her how to sort the silverware,0,1
ive shown her how to use two hands to lift dishes out of the dishwasher,0,1
ive tried to show her how to match socks put clothes in and out of the dryer and carry clothes to her room and put them away in the right drawers,0,1
we talked to her about it ahead of time so she knew what to expect,0,1
we talked to the synagogue educator about how to make her comfortable in the onceamonth class,1,1
would like him to participate in some classes soon,4,1
providing the resources,0,0
attend as a family and encourage participation during the activity,0,1
cutting food into smaller pieces so he can feed himself,0,1
discuss the activity before hand to set expectations,2,1
have a routine reading time every day,0,1
having toys organized so he knows where to put them away,0,1
let him choose which parts of the museum or zoo to explore,2,1
letting him choose his clothes,2,1
participate for shorter periods of time so he doesnt get too worn out,0,1
planning ahead to do the activities when hes welled and rested,0,1
provide encouragement or affirmation for tasks,1,1
provide various options for crafts and puzzles,2,1
putting him in appropriate clothes and shoes to be able to fully enjoy the activities,0,1
try to go with another adult so he and his sister can try different activities individually,0,1
try to go with another adult so he and his sister can try different activities individually,0,1
try to talk about whats happening in to shows regarding characters experiences emotions etc,0,1
using a learning tower to give him access to the kitchen counter,0,1
using a schedule for bedtime to encourage more independence,0,1
he is a picky eater no meat we have tried just giving it to him disguising different items in pasta or rice no deal,2,1
we ask him to help...he likes to help. his grandmother is quite elderly and he really enjoys helping her,1,1
we give him either or choices as suggested by his speech therapist...this has helped,2,1
she hates going to the doctors office she wont allow anyone to take her vital signs or height or weight i have no strategy for this,4,2
we dont have a strategy for this shes only i so there is only so much she can do,4,2
we have tried to commit to routines so she knows what to expect,0,2
we just need to sign her up for classes,4,2
we need to get her into a playgroup,4,2
she needs to be walking first,4,0
working on gross motor skills,3,0
