strategy,Label,trainingset
Does not apply. My child isn't yet physically able to do organized physical activities.,NS,train
He also likes bringing things/handing things to you.,P,train
He is always willing to clean up anything that goes into a bucket or toy box.,P,train
This will come with age. He's behaving age-appropriately at this time.,NS,train
"Show him the diaper when changing, and say 'arms up' when getting dressed.  Not much of a set routine.",EC,test
"These questions really don't pertain to our current goals and don't seem age appropriate for my daughter. We're obviously working on fine motor skills and greatly look forward to her participating in getting dressed or undressed, etc. but all in due time.",NS,test
Singing songs while putting away toys,EC,train
Too young,NS,train
Too young,NS,train
Asking her for help.,SOS,train
Bringing familiar items (blankets and toys) and foods from home,EC,train
Demonstration,EC,train
Demonstration,EC,train
Discussing what we are going to do or where we will stay.,EC,train
Drawing clear boundaries about what is expected of her and following through,P,train
Easing into the activity by starting small for short periods of time.,AC,train
Encouraging participation in an activity that she is familiar and comfortable with.,SOS,train
Having her teddy bear try the activity first,EC,train
Involving her teddy bear in the activity (i.e. having the teddy bear do the routine first).,EC,train
Making it fun by singing or dancing during the activity.,P,train
Side by side interaction with mom,AC,train
Side by side play with the person staying with us.,AC,train
Talking about what is expected of her,P,train
Talking about what is expected of her during the class,P,train
Talking about what we are doing,EC,train
Talking about what we are going to do (i.e. after the water is gone from the tub we are going to get out of the bathtub and put on our pajamas).,EC,train
going to different environments,EC,train
Having her hold her own food to take bites,SOS,train
having her hold her own spoon,SOS,train
reintroducing her to  activities as her physical abilities increase and improve,EC,train
she likes to play with the same things so we are working on reintroducing toys or games that are less favored by her,EC,train
trying different foods with with different textures,SOS,train
we are adding more options for toys and games,P,train
we are going to more places with indoor activities to try new things,EC,train
We are looking for activities outside of working hours,EC,train
we are working on having her put toys in bins to help pick up,SOS,train
Make it fun. Sing nursery rhymes help her choose her food or clothes,EC,test
Working on being more interactive with teeth brushing,SOS,train
Working on scribbling/coloring,AC,train
Working on spoon-feeding at mealtime,AC,train
Working on stacking blocks,AC,train
Working on using open cup or cup with straw,AC,train
"Pick out food,  cook food, set table, sit with family.",NS,test
Consistency of activity: same thing over and over again.,AC,train
"He's not old enough right now, so his lack of participation is probably age-appropriate.",NS,train
Increased frequency,EC,train
Repetition and positive reinforcement,AC,train
"Variation, make as adult-led as possible",EC,train
"At her young age I invite her to help when I have time to include her.  She is generally helpful when asked but as she develops into a sassy toddler she is beginning to refuse when asked to help out.  'Please put your bowl in the sink' 'No, momma you do it'.  We are working through that as time and attitude is in the right space.",SOS,train
"We discuss that all members in the family must contribute to the functioning of the family.  We have age appropriate expectations of her just as her brother.  As she gets older we will expect more.  Right now it is sorting laundry by color, putting cups and snack bowls in sink and throwing away her own",P,train
having her watch me pick up toys and asking her to do it too.,EC,train
set up elmo videos about brushing her teeth,EC,train
teaching her where her shoes are so she can grab them when we are about to leave.,AC,train
trying to get her excited about handing me laundry out of the washer/dryer,SOS,train
Consistent interaction practice with others,AC,train
Consistncy,EC,train
Just waiting on better weather condition and transportation,EC,train
"Co-cleaning. Giving him a wipe to clean his spot, while the rest of us clean the table.",SOS,train
Giving two choice of food--this or this and let him decide what he wants.,P,train
I have used a lot of bringing him along in the process. Talking to him about what to expect. And then also showing him what comes next. This has been super helpful at bed time.,EC,train
Letting him play sweep,P,train
Modeling,EC,train
Modeling then practicing cleaning up toys,EC,train
We try to have age appropriate fiends over once in a while for the sake of parallel play moving towards interactive play...consistent opportunity to engage.,EC,train
"discuss the different game options to play, let him select the games, sit on floor and start to play until he joins",P,train
have not tried yet. Will be participating in the Easter activities in the neighborhood,NS,train
he has not attended a class or group activity. We are on waiting lists to sign up for toddler classes,NS,train
Encourage her to interact with her cousins during parties.,SOS,train
Enrolled in gymnastics and we participate together and practice at home between classes,EC,train
"fun noises, encouragement, demonstration, prompting",P,train
She will unload the groceries but will typically take them and run rather than putting them on the counter. I try to instruct her but it doesnt work.,AC,train
Take her to Children's museum as often as I can afford it so she can watch other kids and hopefully mimic their beha,EC,train
tried to get her to help unload the dishwasher by instructing and demonstrating. She typically takes the dishes and runs off.,AC,train
Distraction with a short video so we can brush his teeth,EC,train
Free time in the apartment courtyard with friends,EC,train
Giving a choice for diaper changing--laying down or standing up,P,train
Giving a small bag of trash while Daddy carries a large bag of trash to the dumpster,SOS,train
Helping with the baby (get a diaper) and positive reinforcement,SOS,train
keeping same sleep schedule on trips,EC,train
Modeling at music class,EC,train
Parental involvement to reduce anxiety,EC,train
Planning lots of activities for the plane trip and prepping him ahead of time,EC,train
"Provide variety in choices (swimming, music)",P,train
timing of classes,EC,train
Using a picture schedule each morning for getting ready to leave the house,EC,train
"Using cleaning tools, broom, as a play object",EC,train
Using words instead of throwing/hitting,P,train
We are trying to work on reciprocity with play figures and focusing on the interaction instead of the object,AC,train
Make it fun. Play with him.,P,train
"Bring toys he likes, plan activities",P,train
Getting toys that he is interested in.,P,train
Having Pierce play with guests.,P,train
He does all his group activities at his daycare,NS,train
Show him and he does it,EC,test
Tell him it's healthy,P,test
Doing age appropriate activities,EC,train
Follow routines suggested by OT,EC,train
Incoperating her in our activities.,SOS,train
N/a,NS,train
N/a,NS,train
N/a,NS,train
N/a,NS,train
N/a,NS,train
Things suggested by PT and normal parenting activities,NS,train
Brushing teeth has been a struggle. He wants to control the brush the whole time. We have tried 'taking turns' but he is tired at the end of the day (last thing before bed) and fusses about it.,SOS,train
