,label,ID,strategy,augmented_strategy
206,0,763,I have to suggest things for her to do with her guests otherwise she has a tendency to go off by herself., 
207,4,763,We just haven't had a chance to go on vacation this summer., 
208,0,763,To get her to take a bath or shower she has either toys or plays with the sprayer in the shower., 
209,1,763,She hates having her hair brushed so we compromise and she will allow me to brush it for a few seconds if I brush slowly.  , 
210,2,763,"We have little games such as ""Who can get their jammies on the fastest?""", 
211,1,763,Teacher encouragement and acknowledgement when she does something good is very important to her., 
212,1,763,She gets excited to have friends over but she doesn't always know how to interact with friends.  We encourage her to do different activities with her friends.  , 
213,1,763,"While at the store if she has a specific task, such as putting the item in the cart, she stays more focused.  Also having a goal, such as if you listen you can choose a treat when we are done.  ", 
214,0,763,"We haven't done any organized lessons over the summer, but during the school year she was in swimming lessons.  She didn't like going, but eventually she would engage and do some of the things the rest of the class did.", 
215,0,763,"She claims she ""doesn't know how"" to pick up her toys, etc. so if I do it with her she does a good job. ", 
216,0,763,The school has a mini tramp for sensory kids available., 
217,0,763,My husband built her a number of therapy swings and we have a trampoline for her., 
218,0,763,We have a sensory bag that we play with as a family., 
219,1,763,"We have to encourage her to actually do activities, she is such a homebody and would prefer to stay home.  Once she is doing whatever activity we are doing, she is happy, it's just getting her to start that is hard. ", 
220,0,763,"She loves the iPad and likes to play games, watch movies and look at pictures.  We just have to take it away from her at times, to get her to do other things, which isn't very popular.", 
221,0,763,We got her a chair with arms for dinner time and have a weighted stuffed animal for her lap., 
222,1,763,She needs to be encouraged to participate and play with others.  , 
223,0,410,Other people are willing to help accommodate her high needs, 
224,2,410,Use desired textures of foods, 
225,3,410,Provide assistance with activity, 
226,0,410,"The people running the activities are supportive/tolerant of disruptions, ie fussy behavior", 
227,0,410,"Address sensory issues in positioning, timing and duration of activity", 
228,0,410,"Bring food, snacks, toys, and lots of patience for fussiness", 
229,0,410,Provide direct interaction to facilitate playtime, 
230,0,410,Mom and dad can take turns to stay fresh in providing care, 
231,0,410,"Having a safe rest/napping area available at all times, while keeping other kids safe and engaged", 
232,0,410,Provide positioning to allow her to play as age appropriately as possible, 
233,0,410,"Choosing a time when she""s alert and basic needs are met, and when mom is free of duties for other children", 
234,0,410,Have a quiet place available if needed, 
235,4,410,"They need to be flexible enough to give her what she needs, I.e to lie down, rest, eat, engage, and terminate when she's had enough.  Her needs are often so high that we don't try to take her places", 
236,1,410,Use sensory calming strategies, 
237,0,410,Demonstrate use of toys first, 
238,0,410,Other kids can provide social interaction, 
239,0,410,Timing must be appropriate to fit into schedule/routine of all 3 kids, 
240,2,410,Providing desired texture of foods, 
241,0,410,Provide at least 2 caregivers, 
242,0,410,Manage sensory input to minimize disruptive behaviors/fussing, 
243,0,410,Providing a variety of foods to sample, 
244,0,410,Bring the stroller she will actually tolerate now!, 
245,4,410,Groups need to provide child care for older children to allow mom to successfully engage with her, 
246,0,410,"Having temperature controlled spaces with chairs and floor space, restrooms and play spaces for older children", 
247,0,410,Have a variety of positioning options available to change things up if needed , 
248,0,410,Use engaging colorful materials and eye contact, 
249,0,410,Having enough hands to care for the needs of her and siblings, 
250,2,410,Allow her to choose her foods, 
251,0,410,Timing of class to fit into schedule, 
252,0,410,Being able to feed her or having a place for her to rest, 
253,0,410,Designate time to spend with her, 
254,0,410,Frequently change scenery and position, 
255,1,410,Allow her to pace herself while continuing to offer foods frequently, 
256,0,410,Bring stroller, 
257,0,410,"Schedule activities, feelings and rest, and adjust sensory input to maximize function", 
258,2,410,Provide options for different positions, 
259,4,410,Sensory demands are tolerable, 
260,0,410,"Finding the rare time she is content and able to focus (ie no digestive issues, no sensory overload, no anxiety)", 
261,4,410,I wish I knew!  Changes in routine are challenging and fussiness inevitably follows.  We would just like her to tolerate new things better!, 
262,0,410,Providing different positioning options, 
263,2,944,Using rewards, 
264,0,944,"Watching videos about going to the doctor, dentist, etc.", 
265,0,944,"Visiting unfamiliar places ahead of time to ""practice""", 
266,0,944,Using social stories to get ready ahead of time, 
267,0,944,"Always have an ""exit plan"" in case things don't go well", 
268,0,944,"Having count-downs before transitions ""five more minutes...""", 
269,0,944,Watching a YouTube video or reading a book on the topic/theme/experience, 
270,0,944,Use visuals, 
271,0,944,Maintaining routines, 
272,0,944,"We use consistent language after meals: ""food in the trash, then plate/cup in the sink""", 
273,2,944,Reminding him that a friend or familiar person will be there, 
274,0,944,Use timers to help with transitions, 
275,0,944,Preview the upcoming events, 
276,0,944,Previewing what is coming up, 
277,0,944,Previewing events ahead of time, 
278,2,944,Review expectations , 
279,0,944,Using humor, 
280,0,944,Close communication with teachers, 
281,2,944,Have rewards and praise for participation, 
282,2,944,High interest themes, 
283,0,944,Have predictable routines, 
284,0,944,Have a set bedtime routine, 
285,1,944,Use a LOT of praise!, 
286,1,944,Cheering for participation, 
287,0,944,Use count downs before transitions, 
288,2,944,Use screen time as a reward for good behavior, 
289,2,944,Having high interest rewards for participation, 
290,2,944,Choose craft/stories/music of his topics of interest, 
291,0,944,Having a quiet space for him to go to if he's overwhelmed, 
292,1,944,High praise for participation, 
293,0,944,"Have an ""exit plan"" if things don't go well", 
294,0,944,We have color-coded bins to help with organizing his toys and help with clean up, 
295,0,944,Preview what we'll be doing or who will be visiting, 
296,0,944,Talking about what's going to happen that day, 
297,0,944,Preview the plan ahead of time using visuals if possible, 
298,2,944,High interest rewards for participating, 
299,0,944,Previewing the plan, 
300,0,944,Bringing his iPad with headphones to drown out busy noise, 
301,0,944,Preview what is coming up, 
302,1,944,Store foods/snacks in containers he can easily open to increase independence, 
303,2,944,Offering rewards for trying something new or different, 
304,2,944,Use rewards for participating in non-preferred activities, 
305,0,944,"Having an ""exit plan"" in case things don't go well", 
306,1,944,Use sensory strategies to keep him calmer, 
307,0,944,Breaking down complex activities into smaller steps, 
308,2,944,Having a big reward for participation, 
309,0,944,Having all the necessary information before going somewhere new or different, 
310,0,944,"Bring a back pack with snack, drink, his iPad and headphones to use in case he gets overwhelmed by the environment", 
311,0,944,Bringing a backpack with snacks and his iPad with headphones, 
312,0,944,Set up social activities in a familiar environment, 
313,0,944,Preview what we're going to do ahead of time, 
314,0,944,Daily predictable routines, 
315,0,944,Networking online, 
316,0,944,"Have an ""exit plan"" for when things don't go well", 
317,2,944,Using his favorite colors or themes, 
318,0,944,Preview the plan, 
319,0,944,Have a plan ahead of time and preview it many times before going, 
320,1,944,Respect his quiet space when he needs it, 
321,0,944,Previewing ahead of time, 
322,0,944,Have set and predictable routines, 
323,0,944,"Always having an ""exit plan"" in case things don't go well", 
324,2,944,Have high-interest activities available to keep him busy, 
325,0,944,Previewing upcoming events, 
326,0,944,Close communication with teachers/caregivers outside of the home, 
327,2,944,Making meal preparation into a fun activity (game-like), 
328,2,944,Bringing preferred toys as incentive/reward, 
329,0,944,Having a calendar of events, 
330,0,944,Previewing events using visuals (pictures), 
331,1,944,Cheering any level of participation, 
332,2,944,Have clear expectations, 
333,0,944,"Bringing a backpack with snack, drink, iPad and headphones.", 
334,0,944,Select clothing the night before, 
335,3,02-001,Hand over hand and helping her physically complete tasks, 
336,1,02-001,Making her feel included even when it's something she can't do, 
337,2,02-001,"Making things fun or silly, try to create a better interest", 
338,0,02-001,Explaining how exciting it will be, 
339,1,02-001,Including in tasks even if they're hard, 
340,0,02-001,Get down onto the floor on her level, 
341,0,02-001,Including Others, 
342,0,02-001,Special classroom for the disabled, 
343,3,02-001,Working on better hand co-ordination, 
344,2,02-001,Silliness and making activities seem more fun, 
345,0,02-001,"Family involvement, modelling she sees eeryone doing it and wants to join", 
346,0,02-001,Proper training and information for staff, 
347,0,02-001,Come to educational seminars to larn how to help, 
348,0,02-001,Modelling and demonstration, 
349,0,02-001,Having an EA 100% of the time, 
350,0,02-001,Invitings friends over to give more opportunities, 
351,0,02-001,Explanation and she sees me do it repetatively daily, 
352,2,02-001,Giving her choices of activities instead of always choosing for her, 
353,0,02-001,Having more get togethers to give more opportunities, 
354,0,02-001,Adapting meterials to make it easier, 
355,0,02-001,DSW and support workers, 
356,0,02-001,Positive attitudes from peers and teachers, 
357,0,02-001,Making sure events are wheelchair accesible for her to have more opportunity, 
358,0,02-001,Displaying her art work to make her proud and encourage it to happen more, 
359,0,02-001,Sitting at school close to her favourite friends, 
360,1,02-001,Encouraging through social interaction, 
361,0,02-001,I try to attend field trips so she can be more involved, 
362,3,02-001,Learn sign language or her gestures, 
363,2,02-001,Using activities/songs shes more prone to enjoy doing, 
364,0,02-001,Demonstrating activity a few times to try to teach her how to do it, 
365,0,02-001,Proper equipment, 
366,0,02-001,Demonstrating and allowing her to try it herself before stepping in, 
367,1,02-001,Peer encouragement, 
368,1,02-001,Group encouragement - everyone cheering for her and making a big deal out of the smallest tasks, 
369,0,02-001,Including other children in the activity, 
370,1,02-001,Peer/sibling encouragement, 
371,2,02-001,"Singing, being silly or making a game of it", 
372,0,02-001,Wheelchair access, 
373,3,02-001,Hand over hand, 
374,0,02-001,Allowing more time to do such activities, 
375,3,02-001,Helping her move her arms to join in activities at circle, 
376,0,02-001,Dressing her up fancy and making the event seem extra special, 
377,0,02-001,Including others to make it more fun, 
378,0,02-001,Including activities easy for her to do so she wants to participate more, 
379,2,02-001,Rewarding the positive behaviour, 
380,3,02-001,Hand over hand action and demonstration, 
381,0,02-001,Having her sister show her and model it, 
382,0,02-001,Keeping consistent with times and having her sister join the routine, 
383,0,02-001,Modelling the activity with much repetition, 
384,0,02-001,Proper training for staff, 
385,0,02-001,Singing the clean up song and showing her how to do it, 
386,3,02-001,Hand over hand help, 
387,0,02-001,Singing a specific song during activity to trigger her to know what's coming next, 
388,0,02-001,The space for her walker and equipment, 
389,4,02-001,Acting overly exicted over the littlest of things, 
390,0,02-001,Modelling behaviour, 
391,3,02-001,Repetition. Modelling proper way to do actiity over and over, 
392,4,733,Money and time would allow him to do activities.  Therapy for himself and his brother prevents us from doing activities and me from working., 
393,4,733,Needs reinforcer., 
394,0,733,"Singing during dressing, brushing teeth, etc.", 
395,4,733,Need more time in day aside from therapy., 
396,4,733,We need money to travel., 
397,0,733,"Close supervision allows more craft projects, but not realistic time-wise.", 
398,0,733,"Most play has to be modeled, and we are busy with meal prep, etc.", 
399,4,733,Overnight at a friends house was stressful. Needed more structure., 
400,4,733,We need more time and cooler weather to do the park., 
401,0,733,"Schedule board with visual images of the steps required to go to bed: toilet, sink, book, bed.", 
402,4,733,Needs one on one parent to engage him., 
403,0,733,Try to go to restaurants that serve quickly so he doesn't melt down, 
404,4,733,Needs close supervision., 
405,0,733,One on one direction from an adult, 
406,0,733,Explain what we're doing next., 
407,0,733,Money to pay for programs, 
408,4,733,"Wish we had more free time for fun outings, but can't with all the therapy.", 
409,4,733,He needs help staying occupied., 
410,0,733,"While not our preference, some tv time is necessary for parental  sanity.", 
411,4,733,Not sure how to get him to engage more socially., 
412,2,733,Reinforcers, 
413,2,733,Offer reinforcers, 
414,0,733,Grandparents play with him and talk to him., 
415,4,733,Requires one on one supervision., 
416,4,733,Not do chores., 
417,2,733,Have to come up with new and better reinforcers., 
418,0,733,Wish our children's health didn't require so many doctor appointments. Try to schedule them when he isn't too tired., 
419,0,733,Close supervision when helping make food., 
420,0,733,Setting up an activity for the children to do together (run races)., 
421,4,733,Need money to do them., 
422,0,733,Fewer hours in therapy, 
423,2,733,Offering a dance party when all the toys are picked up., 
424,4,733,We need time apart from therapies to go to the park., 
425,0,733,He needs to be without his older brother. One on one with adult is best., 
426,4,733,We have little time and money for outings., 
427,0,537,"An educative assistant makes all the difference.  We have to pay out of pocket for this at private kindergarten in the mornings, the public system SOMETIMES provides one in the afternoons at his public kindergarten class.", 
428,0,537,having the opportunity for many body breaks during the event., 
429,4,537,"If we had more family or outside help, we'd likely have him in one lesson/activity a week but we can't afford the time now with all of his therapy and his brothers' activities as well", 
430,0,537,Do them outside is the best strategy (away from other distractions), 
431,0,537,"Making sure he has enough alone time/quiet time when we do have guests over, so he is not overstimulated.", 
432,0,537,Making sure he's well fed and gone to the bathroom before we go., 
433,3,537,Making sure he can 'practice' his social skills by joining groups/other kids every day, 
434,2,537,Rewards for completed task, 
435,0,537,Invite more sympathetic families/friends over who will engage with my son with autism, 
436,0,537,Prepare him in advance for what to expect., 
437,0,537,Taking adequate time to make sure he can interact/engage (i.e. do not rush this but take 3x the amount of time than is needed for neurotypical child), 
438,0,537,"Let him have enough quiet/free time to centre himself, before requesting his participation in group/family activities", 
439,4,537,"He needs more adult help to learn how to socialize with other kids.  The desire is there, but the communication skills are not.", 
440,0,537,Do it as a family, 
441,2,537,"Keep him focussed/on-task, and provide incentives, such as high fives and bedtime snack (fruit) or read his favourite book when done.", 
442,4,537,"He has too many therapy sessions now (speech, occupational therapy) to fit in lessons as well, though we did try swimming lessons.  He needs more communicative skills first, or specialized (autism-specific) lessons/sessions.", 
443,0,537,Having a parent's undivided attention (i.e. one parent is not struggling to get the attention of two boys). , 
444,0,537,Bringing smart phone/tablet in case he gets fussy, 
445,0,537,"Being well rested, fed and toileted before the event.", 
446,0,537,More adult participation (he needs 1 on 1 supervision to help him stay within the 'rules' of a game), 
447,0,537,Being well rested ahead of time (not too many distractions/stimulus), 
448,0,537,"letting him know well in advance what to expect of the outing, in clear, simple language ('social story')", 
449,0,537,"Seperate him from the others of the family, so he has one parent for focus", 
450,0,537,Knowing well in advance what to expect from the event., 
451,0,537,Control the amount of TV or tablet time to make time for these other activities., 
452,0,537,Spend time with him., 
453,0,537,Invite more kids with similar developmental disorder (autism) for play dates, 
454,1,02-070,I encourage my child to participate in bedtime routines by engaging with her in the bath playing repetitive game where ie. I splash and then show her how to spllash, 
455,1,02-070,Encourage other children to include her in games, 
456,3,02-070,Practice blowing bubbles and allowing her to repeat, 
457,4,02-070,While I would like my child to participate more in activities it is unlikely gien her chromosomal abnormalities and developmental delay, 
458,0,02-070,Moved to more accessible housing (bungalow) to allow more participation by making it easier to get to main living areas, 
459,0,02-070,Use respite funding to help w managing time, 
460,0,02-070,"Screen time - interacting with her during TV shows ie. Clapping, helping her to clap, singing along to music etc.", 
461,0,02-070,Remove her from gathering should she show signs of overstimulation ie: crying, 
462,1,02-070,"I encourage my child to participate in mealtime by allowing her to feel her food with her hands then plaving hand to mouth (fully g tube fed w ""tastes""", 
463,0,02-070,Connect w supports and dialog w service providers about her needs + how to meet them, 
464,1,02-070,"Light/sound games - show her how to achieve light/sound on toys, do it for her with her own hand and then encourage her to do on her own w assistance as needed", 
465,1,02-070,"*name* can be overwhelmed by lots of noise/activities, we allow her to participate by being in the room with others, sit her at table if we are sitting at table ect.", 
466,0,525,Inviting her to show interest in the iPad., 
467,0,525,Offering puzzles and pretend play through out the day. , 
468,0,525,Reading books on the routines. , 
469,0,525,Organize more weekend activities. , 
470,1,525,Ask for help organizing home. , 
471,0,525,Plan weekend activities with whole family., 
472,0,525,Plan park play dates., 
473,3,525,"For meals, bedtime and personal care we are working hard to increase her vocabulary/sign language which should help her understanding and anticipating the routines. ", 
474,0,525,Preparing at home by reading books and practicing songs., 
475,0,525,Baby proofed the home to make it as safe as possible. , 
476,0,525,Brushing teeth and combing hair in front of a mirror., 
477,0,525,I advocated for about half of my daughter's therapy to be in-home. , 
478,0,525,"Our Mommy and Me class is limited to just once a week, and can not afford to pay for another day a week... but would like to plan to attend story time in the library more often. ", 
479,0,525,Create more family outing opportunities. , 
480,2,525,Letting her pick out which movie to watch. , 
481,0,525,Take swimming lessons. , 
482,0,525,More accommodations to special needs of Down syndrome. , 
483,4,525,"I don't think much will change in my daughter's care routines, until she ""catches up"" cognitively and understands more. ", 
484,0,525,More money to also pay (supplement) for a day or two a week of private preschool. , 
485,0,525,Keep almost all therapy styles play based. , 
486,0,525,Communicate with other special needs families and typically developing families to plan weekends., 
487,0,525,Better communication with Mommy and Me teacher before each session. , 
488,0,525,Save money to hire a babysitter for parent night out. , 
489,1,525,Encouraging more sign language for wants and needs. , 
490,0,525,Invite other toddlers over for a play date and snacks. , 
491,0,525,Special shorter chair with a strap- modified equipment. , 
492,4,525,Budget money for parents night out. , 
493,0,525,Join play date group. , 
494,0,525,Setting up play dates with other children with special needs. , 
495,0,525,Inviting family over to visit more often. , 
496,0,525,Attend more library story times. , 
497,0,525,"Look up city schedule online- library, movies in the park, farmers market.", 
498,0,525,Setting up play dates with typically developing peer children. , 
499,0,525,Coordinate therapies during the day when she is most active and interested. , 
500,0,525,Emailing and open communication with her teacher., 
501,0,02-048,Reistere ECE is very helpful, 
502,1,02-048,Including him, 
503,0,02-048,We give him extra time to do tsks and talk him through them, 
504,1,02-048,Encourage participation by acknowleding successes, 
505,0,02-048,"Model behaviour for him, or do the activity with him", 
506,0,02-048,Talk about what to expect in the days leading to event, 
