,Unnamed: 0.1,Unnamed: 0,ID,label,strategy,augmented_strategy,H_yx,predicted_label_null_x,correct_yx,H_yb,predicted_label_null_y,correct_yb,PVI
1347,1347,1347,72,0,make social stories,Make social stories to discuss the environment.,1.19435068,0,TRUE,1.7142213381829274,0,TRUE,0.5198706581829273
1353,1353,1353,72,0,make social stories,Make social stories about other people in your neighborhood.,1.234353429,0,TRUE,1.7142213381829274,0,TRUE,0.4798679091829274
1476,1476,1476,72,0,take own toys,take own toys to beach,1.068294471,0,TRUE,1.7142213381829274,0,TRUE,0.6459268671829275
1477,1477,1477,72,0,take own toys,take own books,1.000453073,0,TRUE,1.7142213381829274,0,TRUE,0.7137682651829274
1479,1479,1479,72,0,take own toys,eat own vegetables,1.175833099,0,TRUE,1.7142213381829274,0,TRUE,0.5383882391829273
1481,1481,1481,72,0,take own toys,Take own toys,1.224455523,0,TRUE,1.7142213381829274,0,TRUE,0.4897658151829274
1482,1482,1482,72,0,take own toys,Take own toys to play,1.225788731,0,TRUE,1.7142213381829274,0,TRUE,0.4884326071829274
1491,1491,1491,72,0,try to avoid people and noises,Try to avoid people and noise.,1.261553604,0,TRUE,1.7142213381829274,0,TRUE,0.4526677341829275
1498,1498,1498,72,0,try to avoid people and noises,try to avoid people and noises in community setting,1.124811986,0,TRUE,1.7142213381829274,0,TRUE,0.5894093521829273
1501,1501,1501,72,0,keep organized,Keep organized with a planner.,1.24742243,0,TRUE,1.7142213381829274,0,TRUE,0.4667989081829273
1502,1502,1502,72,0,keep organized,keep organized to avoid confusion,1.095232176,0,TRUE,1.7142213381829274,0,TRUE,0.6189891621829275
1507,1507,1507,72,0,keep organized,keep organized in the kitchen,1.172758778,0,TRUE,1.7142213381829274,0,TRUE,0.5414625601829275
1538,1538,1538,72,0,Read and tell stories about outings,Read and tell stories about outings to the grocery store.,1.247106428,0,TRUE,1.7142213381829274,0,TRUE,0.4671149101829275
1539,1539,1539,72,0,Read and tell stories about outings,Read and talk about neighborhood outings,1.09741769,0,TRUE,1.7142213381829274,0,TRUE,0.6168036481829275
1540,1540,1540,72,0,Read and tell stories about outings,Read and tell stories about neighborhood outings,1.070251998,0,TRUE,1.7142213381829274,0,TRUE,0.6439693401829274
1542,1542,1542,72,0,Read and tell stories about outings,Read and tell stories about neighborhood outings to kids in community setting,1.04788656,0,TRUE,1.7142213381829274,0,TRUE,0.6663347781829274
1544,1544,1544,72,0,go when other children aren't there,go around other children at the playground,1.097311712,0,TRUE,1.7142213381829274,0,TRUE,0.6169096261829274
1551,1551,1551,72,0,take familiar items,Take familiar things.,1.245403089,0,TRUE,1.7142213381829274,0,TRUE,0.4688182491829273
1903,2672,2672,02-001,0,Having an EA 100% of the time,Having an environment that is 100% safe and fun 100% of the time.,1.162935537,0,TRUE,1.7142213381829274,0,TRUE,0.5512858011829274
1904,2673,2673,02-001,0,Having an EA 100% of the time,Having an EA at work every day 100% of the time,1.043765216,0,TRUE,1.7142213381829274,0,TRUE,0.6704561221829275
1907,2676,2676,02-001,0,Invitings friends over to give more opportunities,Having more friends around to give more opportunities,0.931286986,0,TRUE,1.7142213381829274,0,TRUE,0.7829343521829274
1909,2678,2678,02-001,0,Invitings friends over to give more opportunities,Invitings friends over to give more chances,1.141483088,0,TRUE,1.7142213381829274,0,TRUE,0.5727382501829275
1912,2681,2681,02-001,0,Invitings friends over to give more opportunities,Invite friends over so the children can have more opportunities,0.993642073,0,TRUE,1.7142213381829274,0,TRUE,0.7205792651829275
1928,2697,2697,02-001,0,Having more get togethers to give more opportunities,"Having more get togethers, which give more opportunities",1.229784467,0,TRUE,1.7142213381829274,0,TRUE,0.4844368711829274
1929,2698,2698,02-001,0,Having more get togethers to give more opportunities,Have more get togethers to give more opportunities,1.011018504,0,TRUE,1.7142213381829274,0,TRUE,0.7032028341829275
1933,2702,2702,02-001,0,Having more get togethers to give more opportunities,Having more get togethers to give more opportunities to make good friends.,1.024382725,0,TRUE,1.7142213381829274,0,TRUE,0.6898386131829275
1935,2704,2704,02-001,0,Having more get togethers to give more opportunities,Having more get togethers so you have more opportunities,1.095640089,0,TRUE,1.7142213381829274,0,TRUE,0.6185812491829275
1942,2711,2711,02-001,0,Adapting meterials to make it easier,Adapting materials to make it easier,1.096976993,0,TRUE,1.7142213381829274,0,TRUE,0.6172443451829275
1952,2721,2721,02-001,0,Positive attitudes from peers and teachers,Having positive attitudes from peers and teachers,1.224935835,0,TRUE,1.7142213381829274,0,TRUE,0.4892855031829275
1958,2727,2727,02-001,0,Making sure events are wheelchair accesible for her to have more opportunity,Providing more opportunities for her by make a certain number of events with a wheelchair accessible for her to have more opportunity,1.263991945,0,TRUE,1.7142213381829274,0,TRUE,0.4502293931829275
1961,2730,2730,02-001,0,Making sure events are wheelchair accesible for her to have more opportunity,Making sure events are wheelchair accessible so that the narrator can have more opportunity,1.214206427,0,TRUE,1.7142213381829274,0,TRUE,0.5000149111829275
1968,2737,2737,02-001,0,Sitting at school close to her favourite friends,Sitting at school near her favourite friends,1.159323963,0,TRUE,1.7142213381829274,0,TRUE,0.5548973751829274
1971,2740,2740,02-001,0,Sitting at school close to her favourite friends,Sitting at school close to fase friends,1.100243519,0,TRUE,1.7142213381829274,0,TRUE,0.6139778191829275
2117,2886,2886,02-001,0,Including activities easy for her to do so she wants to participate more,Including activities easy for her to do so she wanted to participate more.,1.133515106,0,TRUE,1.7142213381829274,0,TRUE,0.5807062321829275
2140,2909,2909,02-001,0,Having her sister show her and model it,Having her sister show her how and model it,1.238424725,0,TRUE,1.7142213381829274,0,TRUE,0.4757966131829274
2141,2910,2910,02-001,0,Having her sister show her and model it,Having her sister to show her and model it,1.181984002,0,TRUE,1.7142213381829274,0,TRUE,0.5322373361829273
2168,2937,2937,02-001,0,Modelling the activity with much repetition,Getting in touch with nature,1.052185447,0,TRUE,1.7142213381829274,0,TRUE,0.6620358911829274
2406,3175,3175,733,0,Setting up an activity for the children to do together (run races).,Setting up an opportunity for the children to come together.,1.236390477,0,TRUE,1.7142213381829274,0,TRUE,0.4778308611829274
2407,3176,3176,733,0,Setting up an activity for the children to do together (run races).,Setting up an activity for the children to do together: run races,1.15587794,0,TRUE,1.7142213381829274,0,TRUE,0.5583433981829273
2417,3186,3186,733,0,Fewer hours in therapy,Having less stress in the environment.,1.237694917,0,TRUE,1.7142213381829274,0,TRUE,0.4765264211829274
2463,3232,3232,537,0,having the opportunity for many body breaks during the event.,Having many opportunity breaks for body breaks during the event.,1.181776036,0,TRUE,1.7142213381829274,0,TRUE,0.5324453021829274
2474,3243,3243,537,0,Do them outside is the best strategy (away from other distractions),"Do them outdoors, away from distractions.",1.163842326,0,TRUE,1.7142213381829274,0,TRUE,0.5503790121829275
2475,3244,3244,537,0,Do them outside is the best strategy (away from other distractions),Do them when possible (with less distractions),1.217708104,0,TRUE,1.7142213381829274,0,TRUE,0.4965132341829275
2490,3259,3259,537,0,Making sure he's well fed and gone to the bathroom before we go.,Getting everything ready in my house.,1.21549255,0,TRUE,1.7142213381829274,0,TRUE,0.4987287881829274
2559,3328,3328,537,0,Having a parent's undivided attention (i.e. one parent is not struggling to get the attention of two boys). ,Having two boys together. One boy is not trying to get the attention of another boy.,1.23122839,0,TRUE,1.7142213381829274,0,TRUE,0.4829929481829274
2565,3334,3334,537,0,Bringing smart phone/tablet in case he gets fussy,Bringing smart phone/tablet to keep track of time in case he gets fussy,1.048911243,0,TRUE,1.7142213381829274,0,TRUE,0.6653100951829274
2566,3335,3335,537,0,Bringing smart phone/tablet in case he gets fussy,Bringing my smart phone/tablet in case he gets fussy,1.235667468,0,TRUE,1.7142213381829274,0,TRUE,0.4785538701829275
2567,3336,3336,537,0,Bringing smart phone/tablet in case he gets fussy,Bringing my smart phone/tablet in case he gets fussy in the neighborhood.,1.188871607,0,TRUE,1.7142213381829274,0,TRUE,0.5253497311829274
2568,3337,3337,537,0,Bringing smart phone/tablet in case he gets fussy,Bringing smart phone/tablet in case he gets fussy while going to the park,1.05217136,0,TRUE,1.7142213381829274,0,TRUE,0.6620499781829274
2593,3362,3362,537,0,"Seperate him from the others of the family, so he has one parent for focus","Separate him from the others of the family, so he has one parent for focus",1.208072348,0,TRUE,1.7142213381829274,0,TRUE,0.5061489901829275
2598,3367,3367,537,0,"Seperate him from the others of the family, so he has one parent for focus","Separate him from his siblings, so each of them has a parent for focus.",1.260227835,0,TRUE,1.7142213381829274,0,TRUE,0.4539935031829274
2611,3380,3380,537,0,Spend time with him.,Spend time in the outdoors.,1.040132544,0,TRUE,1.7142213381829274,0,TRUE,0.6740887941829274
2612,3381,3381,537,0,Spend time with him.,Spend time at home with him.,1.20071907,0,TRUE,1.7142213381829274,0,TRUE,0.5135022681829273
2621,3390,3390,537,0,Invite more kids with similar developmental disorder (autism) for play dates,Inviting more kids with developmental disorder (autism) for play dates,1.151048466,0,TRUE,1.7142213381829274,0,TRUE,0.5631728721829274
2633,3499,3499,525,0,Offering puzzles and pretend play through out the day. ,Playing puzzles and pretend play through out the day.,1.06686092,0,TRUE,1.7142213381829274,0,TRUE,0.6473604181829273
2637,3503,3503,525,0,Offering puzzles and pretend play through out the day. ,Offering puzzles and role playing through out the day.,1.138258321,0,TRUE,1.7142213381829274,0,TRUE,0.5759630171829275
2640,3506,3506,525,0,Offering puzzles and pretend play through out the day. ,Offering puzzles and pretend play through out the day.,1.243468007,0,TRUE,1.7142213381829274,0,TRUE,0.4707533311829275
2642,3508,3508,525,0,Offering puzzles and pretend play through out the day. ,Offer puzzles and pretend play through out the day,1.20055384,0,TRUE,1.7142213381829274,0,TRUE,0.5136674981829275
2643,3509,3509,525,0,Reading books on the routines. ,Reading books on the routines.,1.186787268,0,TRUE,1.7142213381829274,0,TRUE,0.5274340701829274
2644,3510,3510,525,0,Reading books on the routines. ,Reading books on the routines to become proficient in the skills.,1.20977402,0,TRUE,1.7142213381829274,0,TRUE,0.5044473181829274
2650,3516,3516,525,0,Reading books on the routines. ,Read books on the basic care routine.,1.195715629,0,TRUE,1.7142213381829274,0,TRUE,0.5185057091829275
2651,3517,3517,525,0,Reading books on the routines. ,Read books on the basic care routines.,1.16893268,0,TRUE,1.7142213381829274,0,TRUE,0.5452886581829275
2654,3520,3520,525,0,Organize more weekend activities. ,Organize more weekend activities with people who you like and the activities you may like.,1.155110859,0,TRUE,1.7142213381829274,0,TRUE,0.5591104791829273
2655,3521,3521,525,0,Organize more weekend activities. ,Organize more weekend events.,1.205634608,0,TRUE,1.7142213381829274,0,TRUE,0.5085867301829274
2657,3523,3523,525,0,Organize more weekend activities. ,Organize more weekend activities.,1.178956525,0,TRUE,1.7142213381829274,0,TRUE,0.5352648131829274
2661,3527,3527,525,0,Organize more weekend activities. ,Create weekend activities at the community centre.,1.220799552,0,TRUE,1.7142213381829274,0,TRUE,0.4934217861829275
2662,3528,3528,525,0,Organize more weekend activities. ,Organize more community events.,1.238456782,0,TRUE,1.7142213381829274,0,TRUE,0.4757645561829273
2671,3537,3537,525,0,Plan weekend activities with whole family.,Plan a weekend trip with whole family.,0.971166181,0,TRUE,1.7142213381829274,0,TRUE,0.7430551571829275
2672,3538,3538,525,0,Plan weekend activities with whole family.,Plan a fun and interesting weekend activity with the whole family.,1.017693192,0,TRUE,1.7142213381829274,0,TRUE,0.6965281461829274
2673,3539,3539,525,0,Plan weekend activities with whole family.,Plan a whole family weekend activities.,0.972766719,0,TRUE,1.7142213381829274,0,TRUE,0.7414546191829274
2674,3540,3540,525,0,Plan weekend activities with whole family.,Plan weekend activities with your children.,1.103162915,0,TRUE,1.7142213381829274,0,TRUE,0.6110584231829275
2675,3541,3541,525,0,Plan weekend activities with whole family.,Plan weekend activities with the whole family.,1.005137228,0,TRUE,1.7142213381829274,0,TRUE,0.7090841101829275
2678,3544,3544,525,0,Plan weekend activities with whole family.,Plan weekend activities for the whole family.,1.007867001,0,TRUE,1.7142213381829274,0,TRUE,0.7063543371829275
2679,3545,3545,525,0,Plan park play dates.,Plan playdates in the park.,1.014006884,0,TRUE,1.7142213381829274,0,TRUE,0.7002144541829274
2680,3546,3546,525,0,Plan park play dates.,Plan park dates.,1.191970376,0,TRUE,1.7142213381829274,0,TRUE,0.5222509621829274
2681,3547,3547,525,0,Plan park play dates.,Set up play date times.,1.178841854,0,TRUE,1.7142213381829274,0,TRUE,0.5353794841829274
2682,3548,3548,525,0,Plan park play dates.,Plan outdoor playdates.,1.076216351,0,TRUE,1.7142213381829274,0,TRUE,0.6380049871829274
2683,3549,3549,525,0,Plan park play dates.,Plan outdoor play dates.,1.07233514,0,TRUE,1.7142213381829274,0,TRUE,0.6418861981829274
2684,3550,3550,525,0,Plan park play dates.,Plan outdoor play dates with your friends.,1.070015748,0,TRUE,1.7142213381829274,0,TRUE,0.6442055901829273
2686,3552,3552,525,0,Plan park play dates.,Plan field trips to the park.,1.070169572,0,TRUE,1.7142213381829274,0,TRUE,0.6440517661829275
2704,3570,3570,525,0,Preparing at home by reading books and practicing songs.,Preparing at home by reading books and listening to songs.,1.223476506,0,TRUE,1.7142213381829274,0,TRUE,0.4907448321829275
2706,3572,3572,525,0,Preparing at home by reading books and practicing songs.,Preparing at home by reading books and practicing poems.,1.238623062,0,TRUE,1.7142213381829274,0,TRUE,0.4755982761829274
2710,3576,3576,525,0,Baby proofed the home to make it as safe as possible. ,baby proofed my kitchen to make it as safe as possible,1.232380368,0,TRUE,1.7142213381829274,0,TRUE,0.4818409701829274
2711,3577,3577,525,0,Baby proofed the home to make it as safe as possible. ,Baby proofing the home to make it as safe as possible.,1.062225699,0,TRUE,1.7142213381829274,0,TRUE,0.6519956391829274
2712,3578,3578,525,0,Baby proofed the home to make it as safe as possible. ,Baby proofed the home to make it as safe as possible.,1.187307385,0,TRUE,1.7142213381829274,0,TRUE,0.5269139531829274
2713,3579,3579,525,0,Baby proofed the home to make it as safe as possible. ,Baby-proofed the home to make it as safe as possible.,1.168496168,0,TRUE,1.7142213381829274,0,TRUE,0.5457251701829275
2716,3582,3582,525,0,Baby proofed the home to make it as safe as possible. ,Babyproofed the home to make it as safe as possible.,1.180582857,0,TRUE,1.7142213381829274,0,TRUE,0.5336384811829273
2718,3584,3584,525,0,Baby proofed the home to make it as safe as possible. ,Baby proof the home to make it as safe as possible.,1.206767612,0,TRUE,1.7142213381829274,0,TRUE,0.5074537261829275
2719,3585,3585,525,0,Baby proofed the home to make it as safe as possible. ,Babyproofed the home to make it safe as possible.,1.206980006,0,TRUE,1.7142213381829274,0,TRUE,0.5072413321829274
2720,3586,3586,525,0,Brushing teeth and combing hair in front of a mirror.,Brushing teeth and combing hair in a bathroom.,1.067593739,0,TRUE,1.7142213381829274,0,TRUE,0.6466275991829273
2721,3587,3587,525,0,Brushing teeth and combing hair in front of a mirror.,"Brushing teeth and combing hair in front of a mirror, with the syringe in hand.",1.187133013,0,TRUE,1.7142213381829274,0,TRUE,0.5270883251829275
2724,3590,3590,525,0,Brushing teeth and combing hair in front of a mirror.,Brushing teeth and combing the hair in front of a mirror.,1.162592655,0,TRUE,1.7142213381829274,0,TRUE,0.5516286831829273
2726,3592,3592,525,0,Brushing teeth and combing hair in front of a mirror.,Brushing teeth and combing hair in the mirror at night.,1.108090522,0,TRUE,1.7142213381829274,0,TRUE,0.6061308161829275
2729,3595,3595,525,0,Brushing teeth and combing hair in front of a mirror.,Brush teeth and comb hair in front of a mirror.,1.229304353,0,TRUE,1.7142213381829274,0,TRUE,0.4849169851829273
2730,3596,3596,525,0,Brushing teeth and combing hair in front of a mirror.,Brushing teeth and combing hair in front of the mirror.,1.183622542,0,TRUE,1.7142213381829274,0,TRUE,0.5305987961829275
2755,3621,3621,525,0,Create more family outing opportunities. ,Create more family outing opportunities.,1.236464328,0,TRUE,1.7142213381829274,0,TRUE,0.4777570101829274
2759,3625,3625,525,0,Create more family outing opportunities. ,Develop more outdoor activities for families to enjoy.,1.263917704,0,TRUE,1.7142213381829274,0,TRUE,0.4503036341829274
2760,3626,3626,525,0,Create more family outing opportunities. ,Create more opportunities for family outings,1.038711764,0,TRUE,1.7142213381829274,0,TRUE,0.6755095741829273
2761,3627,3627,525,0,Create more family outing opportunities. ,Create more family outing opportunities in the community,1.168377687,0,TRUE,1.7142213381829274,0,TRUE,0.5458436511829274
2763,3629,3629,525,0,Create more family outing opportunities. ,"Family recreation and engagement, family outings",1.155503878,0,TRUE,1.7142213381829274,0,TRUE,0.5587174601829275
2764,3630,3630,525,0,Create more family outing opportunities. ,Create more family outing opportunities for residents.,1.243536927,0,TRUE,1.7142213381829274,0,TRUE,0.4706844111829273
2773,3639,3639,525,0,Take swimming lessons. ,Take swimming lessons.,1.057519142,0,TRUE,1.7142213381829274,0,TRUE,0.6567021961829274
2777,3643,3643,525,0,Take swimming lessons. ,Take swimming lessons and then take a trip to the beach.,1.126927494,0,TRUE,1.7142213381829274,0,TRUE,0.5872938441829274
2803,3669,3669,525,0,Keep almost all therapy styles play based. ,Keep most therapy styles play based.,1.17442287,0,TRUE,1.7142213381829274,0,TRUE,0.5397984681829275
2804,3670,3670,525,0,Keep almost all therapy styles play based. ,Keep almost all therapy styles play based.,1.258252622,0,TRUE,1.7142213381829274,0,TRUE,0.4559687161829273
2807,3673,3673,525,0,Communicate with other special needs families and typically developing families to plan weekends.,Communicate with other special needs families and other typically developing families to plan weekend activities.,1.095793453,0,TRUE,1.7142213381829274,0,TRUE,0.6184278851829275
2808,3674,3674,525,0,Communicate with other special needs families and typically developing families to plan weekends.,Communicate with other special needs families and those with typically developing children to plan weekends.,1.187896451,0,TRUE,1.7142213381829274,0,TRUE,0.5263248871829274
2809,3675,3675,525,0,Communicate with other special needs families and typically developing families to plan weekends.,Communicate with other families with special needs and typically developing families to plan weekends.,1.120238221,0,TRUE,1.7142213381829274,0,TRUE,0.5939831171829275
2811,3677,3677,525,0,Communicate with other special needs families and typically developing families to plan weekends.,"Communicate with other families in the community to plan family outings, weekends, etc.",1.220445645,0,TRUE,1.7142213381829274,0,TRUE,0.4937756931829273
2812,3678,3678,525,0,Communicate with other special needs families and typically developing families to plan weekends.,Become good friends with other families and 'typical' families to plan fun weekend activities for their kids.,1.099845085,0,TRUE,1.7142213381829274,0,TRUE,0.6143762531829275
2822,3688,3688,525,0,Save money to hire a babysitter for parent night out. ,Save money to hire a babysitter for a parent night out.,1.25281973,0,TRUE,1.7142213381829274,0,TRUE,0.4614016081829275
2824,3690,3690,525,0,Save money to hire a babysitter for parent night out. ,Save money to hire a babysitter for the upcoming party.,1.222551528,0,TRUE,1.7142213381829274,0,TRUE,0.4916698101829273
2825,3691,3691,525,0,Save money to hire a babysitter for parent night out. ,Save up money to hire a babysitter for parent night out.,1.082483871,0,TRUE,1.7142213381829274,0,TRUE,0.6317374671829274
2828,3694,3694,525,0,Save money to hire a babysitter for parent night out. ,Save money to hire a babysitter for parent night out.,1.164205548,0,TRUE,1.7142213381829274,0,TRUE,0.5500157901829275
2838,3704,3704,525,0,Invite other toddlers over for a play date and snacks. ,Invite other toddlers over for a play date and snacks.,1.191120643,0,TRUE,1.7142213381829274,0,TRUE,0.5231006951829273
2839,3705,3705,525,0,Invite other toddlers over for a play date and snacks. ,Let other toddlers over for a play date and snacks.,1.136495971,0,TRUE,1.7142213381829274,0,TRUE,0.5777253671829274
2840,3706,3706,525,0,Invite other toddlers over for a play date and snacks. ,Invite other toddlers over for a play date and snack.,1.194079045,0,TRUE,1.7142213381829274,0,TRUE,0.5201422931829274
2841,3707,3707,525,0,Invite other toddlers over for a play date and snacks. ,Invite other toddlers over for a play date and snacks,1.090351972,0,TRUE,1.7142213381829274,0,TRUE,0.6238693661829275
2842,3708,3708,525,0,Invite other toddlers over for a play date and snacks. ,Invite toddlers over for a snack and play date.,1.21339295,0,TRUE,1.7142213381829274,0,TRUE,0.5008283881829274
2864,3730,3730,525,0,Join play date group. ,Join a play date group.,1.2629068,0,TRUE,1.7142213381829274,0,TRUE,0.4513145381829273
2865,3731,3731,525,0,Join play date group. ,Join play date group.,1.195186368,0,TRUE,1.7142213381829274,0,TRUE,0.5190349701829273
2869,3735,3735,525,0,Setting up play dates with other children with special needs. ,Setting up play dates with other children with learning disabilities.,1.098217654,0,TRUE,1.7142213381829274,0,TRUE,0.6160036841829275
2870,3736,3736,525,0,Setting up play dates with other children with special needs. ,Setting up play dates with other children with special needs.,1.078994467,0,TRUE,1.7142213381829274,0,TRUE,0.6352268711829274
